YEAST_ID	GO_ID	Level
9164928	GO:0002181	6
9164929	GO:0002181	6
9164921	GO:0006413	3
9164921	GO:0006414	5
9164921	GO:0006450	3
9164921	GO:0006457	2
9164923	GO:0001731	6
9164923	GO:0002181	6
9164924	GO:0002181	6
855428	GO:0006357	7
855428	GO:0006402	6
855428	GO:0017148	7
855428	GO:0032968	9
855429	GO:0006886	4
855429	GO:0006888	4
855429	GO:0006890	6
855429	GO:0006891	6
855429	GO:0009306	4
855429	GO:0015031	4
855429	GO:0016192	4
855422	GO:0001403	6
855422	GO:0009272	4
855422	GO:0030437	3
855422	GO:0044088	6
855422	GO:0070613	7
855422	GO:0071467	4
855422	GO:0071469	5
855422	GO:0072659	6
855423	GO:0006886	4
855423	GO:0006887	4
855423	GO:0006897	5
855423	GO:0032880	4
855423	GO:0043087	5
855423	GO:0070649	6
855423	GO:0090630	7
855420	GO:0006623	5
855420	GO:0006897	5
855420	GO:0015031	4
855420	GO:0042147	5
855426	GO:0006260	5
855426	GO:0006261	6
855426	GO:0006272	7
855426	GO:0006298	6
855426	GO:0007049	2
855426	GO:0007062	3
855427	GO:0000079	6
855427	GO:0007049	2
855427	GO:0016239	8
855427	GO:0031106	6
855427	GO:0032878	4
855427	GO:0051301	2
855427	GO:0051726	4
855424	GO:0001522	6
855424	GO:0006396	6
855424	GO:0006400	6
855424	GO:0008033	8
855424	GO:0009451	5
855424	GO:1990481	7
855425	GO:0006811	4
855425	GO:0006816	8
855425	GO:0070588	8
855425	GO:0098703	6
853114	GO:0002098	8
853114	GO:0006357	7
853114	GO:0015031	4
853114	GO:0032447	8
853115	GO:0006414	5
853116	GO:0006629	3
853116	GO:0006656	5
853116	GO:0006657	6
853116	GO:0008654	4
853116	GO:0009058	2
853117	GO:0006470	6
853117	GO:0016311	5
853117	GO:0035335	7
853111	GO:0015931	5
853111	GO:0060237	5
853111	GO:0061091	4
853112	GO:0006623	5
853112	GO:0006897	5
853112	GO:0006898	6
853112	GO:0019236	4
853112	GO:0072659	6
853113	GO:0006486	4
853113	GO:0006493	5
853113	GO:0031505	4
853113	GO:0035269	5
853113	GO:0071712	6
853448	GO:0006414	5
853118	GO:0000105	5
853118	GO:0006164	6
853118	GO:0006730	3
853118	GO:0006760	4
853118	GO:0008152	1
853118	GO:0008652	4
853118	GO:0009086	6
853118	GO:0009113	4
853118	GO:0009257	7
853118	GO:0035999	4
853118	GO:0055114	2
853119	GO:0016310	5
850373	GO:0006817	7
850373	GO:0016311	5
854465	GO:0005987	6
854465	GO:0006261	6
854465	GO:0006302	6
854465	GO:0006338	4
854465	GO:0006355	6
854465	GO:0031496	5
854465	GO:0042148	5
854465	GO:0042766	5
854465	GO:0043044	5
854465	GO:0044109	4
854465	GO:0045944	8
854465	GO:0061412	6
854465	GO:1900189	6
854465	GO:2000219	8
854464	GO:0006414	5
854466	GO:0006812	5
854466	GO:0006874	7
854466	GO:0034220	5
854466	GO:0055085	4
854461	GO:0000462	10
854461	GO:0000469	7
854461	GO:0006364	8
854461	GO:0042254	4
854461	GO:0042274	4
854462	GO:0006457	2
854462	GO:0045454	3
854462	GO:0055114	2
854469	GO:0000055	5
854469	GO:0000447	10
854469	GO:0042254	4
854469	GO:0042273	4
854468	GO:0000028	6
854468	GO:0002181	6
854468	GO:0006407	6
851890	GO:0000002	5
851890	GO:0006310	5
851890	GO:0006355	6
851890	GO:0032543	6
851890	GO:0034599	4
851890	GO:0090297	9
855848	GO:0006096	4
855849	GO:0006508	4
855849	GO:0019249	5
855849	GO:0031669	4
855849	GO:0061727	5
855844	GO:0006886	4
855844	GO:0006887	4
855844	GO:0006906	5
855844	GO:0016192	4
855844	GO:0030437	3
855844	GO:0031321	3
855844	GO:0048278	4
855845	GO:0006629	3
855845	GO:0006631	4
855845	GO:0006633	5
855845	GO:0008152	1
855845	GO:0042759	6
855845	GO:0055114	2
855846	GO:0000722	6
855846	GO:0032508	7
855847	GO:0031505	4
855840	GO:0006468	6
855840	GO:0006624	5
855840	GO:0016310	5
855840	GO:0032889	7
855841	GO:0000492	7
855841	GO:0006281	5
855841	GO:0006325	3
855841	GO:0006338	4
855841	GO:0006357	7
855841	GO:0006364	8
855841	GO:0006974	4
855841	GO:0016573	6
855841	GO:0032508	7
855841	GO:0043486	5
855842	GO:0006811	4
855842	GO:0007035	10
855842	GO:1902600	7
855843	GO:0000070	4
855843	GO:0007049	2
855843	GO:0007059	2
855843	GO:0051301	2
851169	GO:0000027	6
851169	GO:0002181	6
851169	GO:0006412	5
851168	GO:0006811	4
851168	GO:0007034	4
851168	GO:0007035	10
851168	GO:1902600	7
850411	GO:0006506	6
850411	GO:0030026	8
851163	GO:0001308	6
851163	GO:0006303	7
851163	GO:0006348	4
851163	GO:0030466	4
