YEAST_ID	GO_ID	Level
9164928	GO:0005840	3
9164928	GO:0022625	5
9164929	GO:0005840	3
9164929	GO:0022625	5
9164921	GO:0005840	3
9164921	GO:0022625	5
9164923	GO:0005840	3
9164923	GO:0022627	5
9164924	GO:0005840	3
9164924	GO:0022625	5
855428	GO:0000932	5
855428	GO:0005634	4
855428	GO:0005737	3
855428	GO:0030014	2
855428	GO:0030015	2
855429	GO:0000139	4
855429	GO:0005737	3
855429	GO:0005768	5
855429	GO:0005783	4
855429	GO:0005793	4
855429	GO:0005794	4
855429	GO:0016020	1
855429	GO:0030117	3
855429	GO:0030126	4
855429	GO:0030663	4
855429	GO:0031410	4
855422	GO:0005783	4
855422	GO:0005886	2
855422	GO:0016020	1
855422	GO:0016021	3
855423	GO:0000131	3
855423	GO:0000133	2
855423	GO:0000329	5
855423	GO:0005737	3
855423	GO:0005770	6
855423	GO:0005829	4
855423	GO:0005886	2
855423	GO:0005933	2
855423	GO:0005934	3
855423	GO:0005935	3
855423	GO:0071944	2
855420	GO:0000139	4
855420	GO:0005768	5
855420	GO:0005794	4
855420	GO:0005802	5
855420	GO:0005829	4
855420	GO:0016020	1
855420	GO:0019898	2
855420	GO:0031901	4
855421	GO:0005739	4
855426	GO:0005634	4
855426	GO:0005663	2
855426	GO:0005829	4
855426	GO:0031389	2
855426	GO:0031390	2
855426	GO:0031391	4
855427	GO:0000131	3
855427	GO:0000307	3
855427	GO:0005634	4
855427	GO:0005737	3
855424	GO:0005634	4
855424	GO:0005739	4
855425	GO:0005783	4
855425	GO:0005886	2
855425	GO:0016020	1
855425	GO:0016021	3
853114	GO:0005634	4
853114	GO:0005737	3
853114	GO:0008023	2
853114	GO:0033588	2
853115	GO:0005634	4
853115	GO:0005737	3
853116	GO:0005634	4
853116	GO:0005635	4
853116	GO:0016020	1
853116	GO:0042564	3
853117	GO:0005634	4
853117	GO:0005737	3
853110	GO:0005634	4
853110	GO:0005737	3
853111	GO:0000324	6
853111	GO:0005886	2
853111	GO:0016020	1
853111	GO:0016021	3
853111	GO:0071944	2
853112	GO:0005634	4
853112	GO:0005737	3
853112	GO:0005768	5
853112	GO:0005829	4
853112	GO:0005886	2
853112	GO:0016020	1
853112	GO:0030479	4
853113	GO:0005783	4
853113	GO:0005789	2
853113	GO:0016020	1
853113	GO:0016021	3
853113	GO:0097582	4
853448	GO:0005829	4
853449	GO:0016020	1
853449	GO:0016021	3
853118	GO:0005634	4
853118	GO:0005737	3
853118	GO:0005739	4
853119	GO:0005634	4
853119	GO:0005737	3
854465	GO:0005634	4
854465	GO:0016514	5
854464	GO:0005829	4
854467	GO:0000324	6
854467	GO:0005737	3
854467	GO:0005773	4
854467	GO:0005774	3
854467	GO:0016020	1
854467	GO:0016021	3
854466	GO:0000329	5
854466	GO:0005773	4
854466	GO:0005774	3
854466	GO:0016020	1
854466	GO:0016021	3
854466	GO:1990816	3
854461	GO:0005634	4
854461	GO:0005730	4
854461	GO:0030686	4
854460	GO:0005739	4
854463	GO:0005634	4
854463	GO:0005737	3
854462	GO:0000324	6
854462	GO:0005783	4
854462	GO:0005788	4
854469	GO:0005634	4
854469	GO:0005654	4
854469	GO:0005730	4
854469	GO:0030687	4
854469	GO:0034399	4
854468	GO:0005737	3
854468	GO:0005840	3
854468	GO:0022627	5
851890	GO:0005634	4
851890	GO:0005739	4
851890	GO:0005762	3
851890	GO:0005840	3
855848	GO:0000015	3
855849	GO:0000932	5
855849	GO:0005737	3
855849	GO:0010494	5
855844	GO:0000329	5
855844	GO:0005628	2
855844	GO:0005886	2
855844	GO:0012505	2
855844	GO:0016020	1
855844	GO:0016021	3
855844	GO:0031201	3
855844	GO:0071944	2
855845	GO:0005739	4
855845	GO:0005829	4
855845	GO:0005835	2
855846	GO:0005739	4
855847	GO:0000324	6
855847	GO:0009277	4
855840	GO:0000329	5
855840	GO:0005773	4
855840	GO:0005774	3
855840	GO:0016020	1
855841	GO:0000812	4
855841	GO:0005634	4
855841	GO:0005654	4
855841	GO:0005724	7
855841	GO:0031011	4
855841	GO:0035267	7
855841	GO:0070209	2
855841	GO:0097255	2
855842	GO:0000220	4
855842	GO:0000324	6
855842	GO:0000329	5
855842	GO:0005773	4
855842	GO:0005774	3
855842	GO:0016020	1
855842	GO:0016021	3
855842	GO:0033177	3
855842	GO:0033179	4
855842	GO:0071944	2
855843	GO:0000444	2
855843	GO:0000775	5
855843	GO:0000776	2
855843	GO:0000777	3
855843	GO:0000818	3
855843	GO:0000922	4
855843	GO:0005634	4
855843	GO:0005694	4
850410	GO:0005794	4
850410	GO:0005829	4
850410	GO:0043332	3
851169	GO:0005737	3
851169	GO:0005840	3
851169	GO:0022625	5
851168	GO:0000220	4
851168	GO:0000329	5
851168	GO:0005765	5
851168	GO:0005773	4
851168	GO:0005774	3
851168	GO:0016020	1
851168	GO:0016471	4
851168	GO:0033179	4
850411	GO:0000329	5
850411	GO:0005783	4
850411	GO:0005789	2
850411	GO:0016020	1
850411	GO:0016021	3
850411	GO:0031227	3
851163	GO:0000781	5
851163	GO:0000784	5
851163	GO:0005634	4
851163	GO:0005677	4
851163	GO:0005720	6
851163	GO:0005724	7
851163	GO:0005730	4
851163	GO:0005739	4
851162	GO:0005737	3
851162	GO:0005829	4
851162	GO:0005840	3
851162	GO:0022627	5
851162	GO:0030686	4
851161	GO:0005635	4
851161	GO:0005777	5
851161	GO:0005783	4
851161	GO:0005789	2
851161	GO:0016020	1
851161	GO:0070939	3
851160	GO:0005739	4
851160	GO:0005761	3
851160	GO:0005762	3
851160	GO:0005840	3
851167	GO:0005829	4
851166	GO:0000795	6
851164	GO:0000324	6
851164	GO:0005886	2
851164	GO:0016020	1
851164	GO:0016021	3
850413	GO:0005739	4
850413	GO:0005762	3
850413	GO:0005840	3
855174	GO:0005737	3
855174	GO:0005840	3
855174	GO:0022627	5
855174	GO:0030686	4
855175	GO:0005634	4
851896	GO:0005783	4
851896	GO:0005789	2
851896	GO:0016020	1
851896	GO:0016021	3
850740	GO:0005634	4
850740	GO:0005730	4
850741	GO:0000781	5
850741	GO:0005634	4
850741	GO:0031011	4
850743	GO:0005628	2
850743	GO:0005737	3
850743	GO:0016020	1
850744	GO:0000124	4
850744	GO:0000790	5
850744	GO:0005634	4
850745	GO:0005783	4
850745	GO:0005788	4
850745	GO:0005789	2
850745	GO:0016020	1
850745	GO:0016021	3
850746	GO:0000139	4
850746	GO:0005783	4
850746	GO:0005789	2
850746	GO:0016020	1
850746	GO:0016021	3
850747	GO:0005737	3
850747	GO:0005886	2
850747	GO:0043332	3
850748	GO:0005739	4
850749	GO:0005737	3
850749	GO:0009328	3
855210	GO:0005737	3
855210	GO:0005829	4
855213	GO:0005737	3
855212	GO:0005634	4
855212	GO:0005737	3
855212	GO:0005773	4
855215	GO:0005739	4
855215	GO:0016020	1
855215	GO:0016021	3
855215	GO:0031966	3
855214	GO:0005634	4
855214	GO:0005737	3
855214	GO:0035097	4
855214	GO:0070211	4
855217	GO:0000781	5
855217	GO:0005634	4
855218	GO:0005634	4
855218	GO:0005737	3
855218	GO:0031533	4
856306	GO:0005829	4
856306	GO:0005968	4
856307	GO:0005634	4
856307	GO:0005681	3
856307	GO:0046540	6
856304	GO:0005634	4
856304	GO:0005635	4
856304	GO:0005737	3
856304	GO:0005816	5
856304	GO:0005856	4
856304	GO:0016020	1
856304	GO:0031965	3
856304	GO:0034399	4
856305	GO:0005634	4
856305	GO:0005737	3
856305	GO:0008622	4
856302	GO:0005634	4
856302	GO:0005737	3
856301	GO:0005737	3
856301	GO:0005856	4
856301	GO:0005886	2
856301	GO:0005934	3
856301	GO:0005935	3
856301	GO:0016020	1
856301	GO:0030479	4
856301	GO:0043332	3
856553	GO:0005634	4
856553	GO:0005730	4
856553	GO:0030686	4
856553	GO:0032040	4
856553	GO:0034457	2
856552	GO:0005739	4
856552	GO:0005762	3
856552	GO:0005840	3
856551	GO:0005634	4
856806	GO:0000139	4
856806	GO:0005783	4
856806	GO:0005789	2
856806	GO:0005794	4
856806	GO:0016020	1
856806	GO:0016021	3
856806	GO:0030134	6
856806	GO:0030173	4
856557	GO:0005634	4
856557	GO:0005730	4
856556	GO:0000324	6
856556	GO:0016020	1
856556	GO:0016021	3
856555	GO:0005777	5
856555	GO:0005778	4
856555	GO:0005829	4
856555	GO:0016020	1
856555	GO:0016021	3
856554	GO:0000131	3
856554	GO:0005934	3
856554	GO:0005935	3
856554	GO:0016020	1
856554	GO:0016021	3
856554	GO:0071944	2
852180	GO:0000796	3
852180	GO:0000799	4
852180	GO:0005634	4
852180	GO:0005694	4
852180	GO:0005737	3
852181	GO:0005739	4
852181	GO:0005743	4
852184	GO:0005634	4
852184	GO:0016592	2
852184	GO:0070847	5
852185	GO:0005737	3
852185	GO:0005840	3
852185	GO:0022625	5
852186	GO:0005789	2
852186	GO:0005829	4
852186	GO:0005886	2
852186	GO:0016020	1
852186	GO:0016021	3
852187	GO:0005634	4
852187	GO:0005737	3
852188	GO:0005739	4
852188	GO:0005763	3
852188	GO:0005840	3
852189	GO:0000329	5
