YEAST_ID	GO_ID	Level
9164928	GO:0003735	2
9164929	GO:0003735	2
9164921	GO:0003735	2
9164923	GO:0003735	2
9164924	GO:0003735	2
855429	GO:0005198	1
855423	GO:0005096	4
855423	GO:0017137	7
855420	GO:0005085	2
855426	GO:0000166	3
855426	GO:0003677	4
855426	GO:0003689	5
855426	GO:0005524	3
855426	GO:0016887	7
855427	GO:0016538	5
855427	GO:0019901	5
855424	GO:0003723	4
855424	GO:0009982	4
855424	GO:0016853	2
855424	GO:0106029	4
855425	GO:0005262	6
855425	GO:0015275	6
853114	GO:0008017	5
853116	GO:0003824	1
853116	GO:0004105	6
853116	GO:0016740	2
853116	GO:0016779	4
853116	GO:0031210	3
853117	GO:0004721	3
853117	GO:0004725	4
853117	GO:0004792	5
853117	GO:0016787	2
853117	GO:0016791	5
853113	GO:0000030	5
853113	GO:0004169	6
853113	GO:0016740	2
853113	GO:0016757	3
853448	GO:0030533	3
853118	GO:0000166	3
853118	GO:0003824	1
853118	GO:0004329	4
853118	GO:0004477	6
853118	GO:0004488	5
853118	GO:0005524	3
853118	GO:0016491	2
853118	GO:0016787	2
853118	GO:0016874	2
853119	GO:0000166	3
853119	GO:0005524	3
853119	GO:0008887	5
853119	GO:0016301	4
853119	GO:0016740	2
850373	GO:0042131	7
854465	GO:0000166	3
854465	GO:0000182	7
854465	GO:0001102	6
854465	GO:0003677	4
854465	GO:0004386	9
854465	GO:0005524	3
854465	GO:0008094	9
854465	GO:0015616	3
854465	GO:0016787	2
854465	GO:0031492	4
854465	GO:0042393	3
854465	GO:0070577	4
854464	GO:0030533	3
854466	GO:0000166	3
854466	GO:0005524	3
854466	GO:0015662	6
854466	GO:0016787	2
854466	GO:0016887	7
854466	GO:0046872	4
854460	GO:0004792	5
854460	GO:0016740	2
854462	GO:0003756	3
854462	GO:0005515	2
854462	GO:0015035	5
854462	GO:0016853	2
854462	GO:0019153	5
854468	GO:0003735	2
851890	GO:0000150	3
851890	GO:0003677	4
851890	GO:0003697	5
851890	GO:0003735	2
855848	GO:0000287	5
855848	GO:0004634	5
855848	GO:0016829	2
855848	GO:0046872	4
855849	GO:0008234	5
855849	GO:0016829	2
855849	GO:0019172	5
855849	GO:0051082	3
855844	GO:0000149	3
855844	GO:0005484	3
855844	GO:0005546	7
855844	GO:0043325	7
855844	GO:0070300	4
855844	GO:0080025	7
855845	GO:0000287	5
855845	GO:0003824	1
855845	GO:0004312	5
855845	GO:0004315	6
855845	GO:0004316	5
855845	GO:0004321	6
855845	GO:0008897	5
855845	GO:0016491	2
855845	GO:0016740	2
855845	GO:0046872	4
855845	GO:0102131	5
855845	GO:0102132	5
855846	GO:0000166	3
855846	GO:0003676	3
855846	GO:0003678	3
855846	GO:0004386	9
855846	GO:0005524	3
855846	GO:0016787	2
855847	GO:0005199	2
855840	GO:0000166	3
855840	GO:0004672	3
855840	GO:0004674	4
855840	GO:0005524	3
855840	GO:0016301	4
855840	GO:0016740	2
855841	GO:0000166	3
855841	GO:0003678	3
855841	GO:0004386	9
855841	GO:0005524	3
855841	GO:0016787	2
855841	GO:0043138	4
855841	GO:0043139	4
855842	GO:0015078	6
855842	GO:0046961	6
851169	GO:0003723	4
851169	GO:0003735	2
851168	GO:0008553	6
851168	GO:0015078	6
851168	GO:0046961	6
850411	GO:0016788	3
851163	GO:0003677	4
851163	GO:0003682	2
851163	GO:0003690	5
851163	GO:0003697	5
851163	GO:0031491	3
851163	GO:0031493	4
851162	GO:0003735	2
851160	GO:0003735	2
851167	GO:0000166	3
851167	GO:0004340	6
851167	GO:0004396	5
851167	GO:0005524	3
851167	GO:0005536	4
851167	GO:0008865	6
851167	GO:0016301	4
851167	GO:0016740	2
851167	GO:0016773	4
851167	GO:0019158	6
850413	GO:0003735	2
855174	GO:0003723	4
855174	GO:0003735	2
851896	GO:0051377	5
850744	GO:0003712	2
850744	GO:0017025	5
850745	GO:0000248	5
850745	GO:0005506	6
850745	GO:0016491	2
850746	GO:0003824	1
850746	GO:0004571	8
850746	GO:0005509	5
850746	GO:0016787	2
850746	GO:0016798	3
850747	GO:0003824	1
850747	GO:0004372	5
850747	GO:0008270	6
850747	GO:0016597	5
850747	GO:0016740	2
850747	GO:0030170	4
850747	GO:0050897	6
850747	GO:0070905	4
850748	GO:0000175	6
850748	GO:0003676	3
850748	GO:0004518	4
850748	GO:0004527	5
850748	GO:0008408	6
850748	GO:0016787	2
850749	GO:0000166	3
850749	GO:0000287	5
850749	GO:0003723	4
850749	GO:0004812	4
850749	GO:0004826	5
850749	GO:0005524	3
850749	GO:0016874	2
855210	GO:0003924	7
855210	GO:0016887	7
855213	GO:0005543	3
855212	GO:0004866	5
855212	GO:0019828	6
855212	GO:0030414	4
855215	GO:0008324	4
855214	GO:0003677	4
855214	GO:0032452	3
855214	GO:0034647	5
855214	GO:0046872	4
855218	GO:0004651	7
855218	GO:0016787	2
856306	GO:0003824	1
856306	GO:0004659	4
856306	GO:0004663	5
856306	GO:0016740	2
856306	GO:0046872	4
856307	GO:0017070	6
856307	GO:0030621	6
856305	GO:0003677	4
856305	GO:0003690	5
856305	GO:0003697	5
856305	GO:0003887	4
856305	GO:0016740	2
856305	GO:0016779	4
856305	GO:0030337	3
856301	GO:0030674	3
856553	GO:0003723	4
856553	GO:0019843	5
856553	GO:0030515	5
856552	GO:0003723	4
856552	GO:0003735	2
856552	GO:0019843	5
856551	GO:0003677	4
852180	GO:0003682	2
852180	GO:0044547	4
852180	GO:0072587	5
852184	GO:0001135	3
852184	GO:0003712	2
852185	GO:0003735	2
852186	GO:0033149	4
852187	GO:0004177	6
852187	GO:0008233	3
852187	GO:0008235	6
852187	GO:0016787	2
852187	GO:0046872	4
852187	GO:0070006	7
