Yeast_ID	GO_ID	Level
YBL056W	GO:0005634	4
YBL056W	GO:0043227	2
YBL056W	GO:0043231	3
YBL056W	GO:0043226	1
YBL056W	GO:0043229	2
YBL056W	GO:0044424	2
YBL056W	GO:0044464	1
YBL056W	GO:0005737	3
YBL056W	GO:0044424	2
YBL056W	GO:0044464	1
YPR152C	GO:0071010	4
YPR152C	GO:1990904	2
YPR152C	GO:0005681	3
YPR152C	GO:0044446	2
YPR152C	GO:0044428	3
YPR152C	GO:0044464	1
YPR152C	GO:0044422	1
YPR152C	GO:0032991	1
YPR152C	GO:0044424	2
YER089C	GO:0005634	4
YER089C	GO:0043227	2
YER089C	GO:0043231	3
YER089C	GO:0043226	1
YER089C	GO:0043229	2
YER089C	GO:0044424	2
YER089C	GO:0044464	1
YER089C	GO:0005737	3
YER089C	GO:0044424	2
YER089C	GO:0044464	1
YFL026W	GO:0005887	4
YFL026W	GO:0016021	3
YFL026W	GO:0031226	3
YFL026W	GO:0044459	2
YFL026W	GO:0044464	1
YFL026W	GO:0031224	2
YFL026W	GO:0044425	1
YPL228W	GO:0031533	4
YPL228W	GO:0044446	2
YPL228W	GO:0044428	3
YPL228W	GO:1990234	3
YPL228W	GO:0044464	1
YPL228W	GO:0044422	1
YPL228W	GO:0032991	1
YPL228W	GO:0034708	3
YPL228W	GO:0044424	2
YPL228W	GO:1902494	2
YDR110W	GO:0005730	4
YDR110W	GO:0044446	2
YDR110W	GO:0044428	3
YDR110W	GO:0044464	1
YDR110W	GO:0044422	1
YDR110W	GO:0043232	3
YDR110W	GO:0043226	1
YDR110W	GO:0044424	2
YDR110W	GO:0043229	2
YDR110W	GO:0043228	2
YDR110W	GO:0033553	6
YDR110W	GO:0044446	2
YDR110W	GO:0044464	1
YDR110W	GO:0044422	1
YDR110W	GO:0044424	2
YDR110W	GO:0000792	5
YDR110W	GO:0044427	3
YDR110W	GO:0000785	4
YPL081W	GO:0022627	5
YPL081W	GO:0044445	4
YPL081W	GO:0015935	4
YPL081W	GO:1990904	2
YPL081W	GO:0044446	2
YPL081W	GO:0044464	1
YPL081W	GO:0044422	1
YPL081W	GO:0044444	3
YPL081W	GO:0032991	1
YPL081W	GO:0044424	2
YPL081W	GO:0044391	3
YPL081W	GO:0032040	4
YPL081W	GO:0030684	3
YPL081W	GO:1990904	2
YPL081W	GO:0032991	1
YDR204W	GO:0005743	4
YDR204W	GO:0031090	2
YDR204W	GO:0044446	2
YDR204W	GO:0016020	1
YDR204W	GO:0044464	1
YDR204W	GO:0044422	1
YDR204W	GO:0019866	3
