Yeast_ID	GO_ID	Level
YGL058W	GO:0017116	4
YGL058W	GO:0042623	8
YGL058W	GO:0003678	3
YGL058W	GO:0016787	2
YGL058W	GO:0016817	3
YGL058W	GO:0016818	4
YGL058W	GO:0004386	9
YGL058W	GO:0008094	9
YGL058W	GO:0003824	1
YGL058W	GO:0016462	5
YGL058W	GO:0140097	2
YGL058W	GO:0016887	7
YGL058W	GO:0017111	6
YOR204W	GO:0003724	3
YOR204W	GO:0042623	8
YOR204W	GO:0016787	2
YOR204W	GO:0016817	3
YOR204W	GO:0016818	4
YOR204W	GO:0004386	9
YOR204W	GO:0003824	1
YOR204W	GO:0140098	2
YOR204W	GO:0016462	5
YOR204W	GO:0016887	7
YOR204W	GO:0017111	6
YGR002C	GO:0005515	2
YGR002C	GO:0005488	1
YNL107W	GO:0005515	2
YNL107W	GO:0005488	1
YDL006W	GO:1990439	5
YDL006W	GO:0016787	2
YDL006W	GO:0016788	3
YDL006W	GO:0004722	4
YDL006W	GO:0003824	1
YDL006W	GO:0033549	4
YDL006W	GO:0140096	2
YDL006W	GO:0016791	5
YDL006W	GO:0004721	3
YDL006W	GO:0042578	4
YDR026C	GO:0003677	4
YDR026C	GO:0097159	2
YDR026C	GO:0003676	3
YDR026C	GO:0005488	1
YDR026C	GO:1901363	2
YER089C	GO:1990439	5
YER089C	GO:0016787	2
YER089C	GO:0016788	3
YER089C	GO:0004722	4
YER089C	GO:0003824	1
YER089C	GO:0033549	4
YER089C	GO:0140096	2
YER089C	GO:0016791	5
YER089C	GO:0004721	3
YER089C	GO:0042578	4
YEL066W	GO:0008080	6
YEL066W	GO:0016740	2
YEL066W	GO:0016746	3
YEL066W	GO:0016407	5
YEL066W	GO:0003824	1
YEL066W	GO:0016747	4
YEL066W	GO:0016410	5
YER171W	GO:0043139	4
YER171W	GO:0042623	8
YER171W	GO:0003678	3
YER171W	GO:0016787	2
YER171W	GO:0016817	3
YER171W	GO:0016818	4
YER171W	GO:0004386	9
YER171W	GO:0008094	9
YER171W	GO:0003824	1
YER171W	GO:0016462	5
YER171W	GO:0140097	2
YER171W	GO:0016887	7
YER171W	GO:0017111	6
YFL026W	GO:0004934	6
YFL026W	GO:0004888	3
YFL026W	GO:0001653	3
YFL026W	GO:0036318	5
YFL026W	GO:0008528	4
YFL026W	GO:0038023	2
YFL026W	GO:0004932	5
YFL026W	GO:0004930	4
YFL026W	GO:0016503	5
YFL026W	GO:0060089	1
YNL083W	GO:0005471	6
YNL083W	GO:0015216	5
YNL083W	GO:0005347	5
YNL083W	GO:0000295	6
YNL083W	GO:0015605	3
YNL083W	GO:0008509	4
YNL083W	GO:0015301	6
YNL083W	GO:0015297	5
YNL083W	GO:0015075	3
YNL083W	GO:0022857	2
YNL083W	GO:0005346	4
YNL083W	GO:0140323	5
YNL083W	GO:1901505	3
YNL083W	GO:0005215	1
YNL083W	GO:0022804	3
YNL083W	GO:0015217	5
YNL083W	GO:0008514	5
YNL083W	GO:0015932	3
YNL083W	GO:0022853	4
YNL083W	GO:0015291	4
YNL083W	GO:0015215	4
YNL083W	GO:0005509	5
YNL083W	GO:0043167	2
YNL083W	GO:0043169	3
YNL083W	GO:0046872	4
YNL083W	GO:0005488	1
YKR059W	GO:0003724	3
YKR059W	GO:0042623	8
YKR059W	GO:0016787	2
YKR059W	GO:0016817	3
YKR059W	GO:0016818	4
YKR059W	GO:0004386	9
YKR059W	GO:0003824	1
YKR059W	GO:0140098	2
YKR059W	GO:0016462	5
YKR059W	GO:0016887	7
YKR059W	GO:0017111	6
YPL228W	GO:0004651	7
YPL228W	GO:0098518	6
YPL228W	GO:0016791	5
YPL228W	GO:0016787	2
YPL228W	GO:0016788	3
YPL228W	GO:0042578	4
YPL228W	GO:0003824	1
YJL138C	GO:0003724	3
YJL138C	GO:0042623	8
YJL138C	GO:0016787	2
YJL138C	GO:0016817	3
YJL138C	GO:0016818	4
YJL138C	GO:0004386	9
YJL138C	GO:0003824	1
YJL138C	GO:0140098	2
YJL138C	GO:0016462	5
YJL138C	GO:0016887	7
YJL138C	GO:0017111	6
YDR110W	GO:0043110	8
YDR110W	GO:0031634	7
YDR110W	GO:0097159	2
YDR110W	GO:0003676	3
YDR110W	GO:1990837	6
YDR110W	GO:0003690	5
YDR110W	GO:0005488	1
YDR110W	GO:0000182	7
YDR110W	GO:0003677	4
YDR110W	GO:0043565	5
YDR110W	GO:1901363	2
YPL081W	GO:0003735	2
YPL081W	GO:0005198	1
YPL081W	GO:0019843	5
YPL081W	GO:0003723	4
YPL081W	GO:0097159	2
YPL081W	GO:0003676	3
YPL081W	GO:0005488	1
YPL081W	GO:1901363	2
YPR193C	GO:0008080	6
YPR193C	GO:0016740	2
YPR193C	GO:0016746	3
YPR193C	GO:0016407	5
YPR193C	GO:0003824	1
YPR193C	GO:0016747	4
YPR193C	GO:0016410	5
YCR066W	GO:0017116	4
YCR066W	GO:0042623	8
YCR066W	GO:0003678	3
YCR066W	GO:0016787	2
YCR066W	GO:0016817	3
YCR066W	GO:0016818	4
YCR066W	GO:0004386	9
YCR066W	GO:0008094	9
YCR066W	GO:0003824	1
YCR066W	GO:0016462	5
