,gene,int
0,856058,1
1,855009,2
2,850490,3
3,853089,4
4,852747,5
5,851473,6
6,856195,7
7,851464,8
8,854260,9
9,855700,10
10,855573,11
11,852205,12
12,854010,13
13,850492,14
14,855115,15
15,850517,16
16,852321,17
17,853554,18
18,855630,19
19,854086,20
20,854971,21
21,851696,22
22,853584,23
23,852452,24
24,851476,25
25,854082,26
26,852578,27
27,855171,28
28,851254,29
29,853025,30
30,853186,31
31,853353,32
32,851002,33
33,856223,34
34,850905,35
35,853708,36
36,853619,37
37,854321,38
38,854931,39
39,851243,40
40,851123,41
41,850711,42
42,852531,43
43,854075,44
44,854092,45
45,856820,46
46,854154,47
47,855326,48
48,856589,49
49,854474,50
50,851573,51
51,856250,52
52,9164971,53
53,854192,54
54,854073,55
55,854365,56
56,856449,57
57,852303,58
58,854570,59
59,853002,60
60,853469,61
61,851822,62
62,852447,63
63,852793,64
64,853116,65
65,855118,66
66,855112,67
67,856620,68
68,853945,69
69,853724,70
70,854243,71
71,852471,72
72,856272,73
73,852552,74
74,851664,75
75,850768,76
76,856900,77
77,851216,78
78,855156,79
79,850429,80
80,851736,81
81,851314,82
82,855781,83
83,855364,84
84,853042,85
85,852379,86
86,852499,87
87,850877,88
88,852663,89
89,854675,90
90,851936,91
91,850331,92
92,856200,93
93,852866,94
94,856638,95
95,854775,96
96,854953,97
97,856566,98
98,851029,99
99,853246,100
100,856274,101
101,853658,102
102,852638,103
103,853748,104
104,855042,105
105,851533,106
106,854324,107
107,854379,108
108,855323,109
109,855606,110
110,850651,111
111,852608,112
112,856023,113
113,852472,114
114,851798,115
115,850621,116
116,854852,117
117,850340,118
118,856347,119
119,851987,120
120,850880,121
121,853298,122
122,855135,123
123,855385,124
124,852383,125
125,852852,126
126,851516,127
127,856264,128
128,850317,129
129,853687,130
130,856602,131
131,853124,132
132,856713,133
133,856401,134
134,854103,135
135,850717,136
136,856610,137
137,854413,138
138,851124,139
139,850753,140
140,856701,141
141,856783,142
142,851764,143
143,855271,144
144,856182,145
145,856611,146
146,853257,147
147,853167,148
148,852801,149
149,853442,150
150,852248,151
151,850295,152
152,852104,153
153,856838,154
154,856020,155
155,852495,156
156,851507,157
157,852810,158
158,855638,159
159,855296,160
160,855669,161
161,856791,162
162,855742,163
163,854220,164
164,850401,165
165,856065,166
166,854776,167
167,850431,168
168,855716,169
169,856093,170
170,850516,171
171,853368,172
172,852263,173
173,855937,174
174,850466,175
175,850597,176
176,3799971,177
177,853570,178
178,852809,179
179,855412,180
180,854894,181
181,855241,182
182,852237,183
183,850889,184
184,854926,185
185,851974,186
186,853997,187
187,852851,188
188,856174,189
189,855312,190
190,853669,191
191,856842,192
192,851969,193
193,854187,194
194,851311,195
195,853275,196
196,850904,197
197,850736,198
198,856230,199
199,851541,200
200,852553,201
201,854781,202
202,856759,203
203,853253,204
204,851565,205
205,851660,206
206,853325,207
207,853233,208
208,852945,209
209,852739,210
210,852170,211
211,1500487,212
212,855273,213
213,850883,214
214,854924,215
215,853630,216
216,855028,217
217,852258,218
218,850599,219
219,852167,220
220,854170,221
221,850675,222
222,852985,223
223,851735,224
224,851355,225
225,855515,226
226,850692,227
227,856812,228
228,854131,229
229,855283,230
230,851237,231
231,851266,232
232,850334,233
233,852017,234
234,855134,235
235,853567,236
236,854138,237
237,855275,238
238,852145,239
239,852097,240
240,855144,241
241,855108,242
242,850500,243
243,855975,244
244,1466438,245
245,851041,246
246,855325,247
247,854315,248
248,851865,249
249,854088,250
250,856700,251
251,854105,252
252,856412,253
253,850623,254
254,852139,255
255,9164962,256
256,851312,257
257,853585,258
258,851606,259
259,854670,260
260,853929,261
261,855186,262
262,855417,263
263,852311,264
264,854990,265
265,853076,266
266,856927,267
267,856135,268
268,856476,269
269,850685,270
270,851304,271
271,856094,272
272,855465,273
273,856078,274
274,850620,275
275,854147,276
276,850698,277
277,852091,278
278,852850,279
279,852016,280
280,854453,281
281,852143,282
282,854203,283
283,853553,284
284,851480,285
285,851372,286
286,853174,287
287,855430,288
288,852089,289
289,851442,290
290,856427,291
291,853305,292
292,851756,293
293,854183,294
294,852915,295
295,850871,296
296,854390,297
297,852351,298
298,852950,299
299,855230,300
300,853347,301
301,852835,302
302,855136,303
303,853805,304
304,854457,305
305,855885,306
306,855440,307
307,850303,308
308,855532,309
309,854554,310
310,850710,311
311,856403,312
312,854081,313
313,851592,314
314,850413,315
315,852593,316
316,855674,317
317,854904,318
318,850471,319
319,856854,320
320,854458,321
321,852372,322
322,855902,323
323,851820,324
324,856732,325
325,852436,326
326,851967,327
327,851813,328
328,851064,329
329,851104,330
330,3799967,331
331,851721,332
332,855914,333
333,853560,334
334,851139,335
335,853459,336
336,853846,337
337,856085,338
338,851847,339
339,856397,340
340,855607,341
