,gene,int
0,854382,1
1,855704,2
2,854238,3
3,852291,4
4,851473,5
5,850711,6
6,1466528,7
7,853732,8
8,852398,9
9,855751,10
10,851507,11
11,855444,12
12,854507,13
13,850482,14
14,856389,15
15,852991,16
16,853391,17
17,855280,18
18,850645,19
19,851744,20
20,853385,21
21,856125,22
22,854922,23
23,854385,24
24,853940,25
25,853863,26
26,853902,27
27,854470,28
28,851319,29
29,856053,30
30,854471,31
31,851805,32
32,856296,33
33,855876,34
34,856671,35
35,854688,36
36,851275,37
37,855416,38
38,855051,39
39,852228,40
40,851239,41
41,856546,42
42,850962,43
43,850643,44
44,856138,45
45,852150,46
46,853972,47
47,851757,48
48,856829,49
49,854797,50
50,851965,51
51,850648,52
52,852661,53
53,856695,54
54,852923,55
55,850555,56
56,854537,57
57,851585,58
58,855561,59
59,850701,60
60,850961,61
61,855659,62
62,856738,63
63,855758,64
64,854980,65
65,856475,66
66,855356,67
67,853702,68
68,856353,69
69,854264,70
70,854444,71
71,850403,72
72,851930,73
73,852472,74
74,854145,75
75,851752,76
76,853152,77
77,852191,78
78,851143,79
79,856088,80
80,851948,81
81,851380,82
82,852353,83
83,854355,84
84,852893,85
85,854844,86
86,853028,87
87,852864,88
88,853008,89
89,856279,90
90,9164986,91
91,852133,92
92,856806,93
93,9164890,94
94,852017,95
95,854835,96
96,851321,97
97,852714,98
98,856587,99
99,854766,100
100,855364,101
101,852111,102
102,853159,103
103,855612,104
104,852508,105
105,853528,106
106,856864,107
107,851386,108
108,854783,109
109,850538,110
110,855606,111
111,855224,112
112,850868,113
113,852181,114
114,856461,115
115,852547,116
116,855498,117
117,852856,118
118,852495,119
119,852737,120
120,851545,121
121,856593,122
122,853724,123
123,854079,124
124,855054,125
125,856789,126
126,856455,127
127,851935,128
128,856530,129
129,851004,130
130,854935,131
131,856503,132
132,856357,133
133,851087,134
134,853796,135
135,851847,136
136,855400,137
137,854135,138
138,852707,139
139,854867,140
140,856494,141
141,853561,142
142,854667,143
143,852258,144
144,855930,145
145,856018,146
146,854144,147
147,853127,148
148,853512,149
149,852758,150
150,851811,151
151,852566,152
152,853833,153
153,853290,154
154,853169,155
155,851696,156
156,854501,157
157,851512,158
158,850800,159
159,850713,160
160,856497,161
161,853298,162
162,856584,163
163,852142,164
164,851936,165
165,856442,166
166,850424,167
167,1466504,168
168,855141,169
169,854091,170
170,852832,171
171,851890,172
172,852549,173
173,854057,174
174,9164874,175
175,854034,176
176,854461,177
177,855835,178
178,855661,179
179,853958,180
180,856560,181
181,851605,182
182,856603,183
183,851034,184
184,855297,185
185,854428,186
186,851872,187
187,855568,188
188,856647,189
189,853758,190
190,851727,191
191,853671,192
192,855797,193
193,854659,194
194,855226,195
195,855829,196
196,850946,197
197,854401,198
198,852131,199
199,856246,200
200,853341,201
201,852366,202
202,856766,203
203,856464,204
204,851801,205
205,852491,206
206,855284,207
207,852834,208
208,855403,209
209,855184,210
210,856625,211
211,855212,212
212,854903,213
213,855353,214
214,855260,215
215,856276,216
216,856778,217
217,9164897,218
218,854919,219
219,851156,220
220,854434,221
221,854179,222
222,855344,223
223,855110,224
224,855599,225
225,850806,226
226,854772,227
227,850601,228
228,855341,229
229,855396,230
230,851119,231
231,856569,232
232,856618,233
233,851777,234
234,855622,235
235,852260,236
236,1466441,237
237,851628,238
238,855287,239
239,856097,240
240,851469,241
241,851238,242
242,855050,243
243,855402,244
244,856623,245
245,850918,246
246,9164869,247
247,853867,248
248,851214,249
249,853398,250
250,1466463,251
251,851875,252
252,851551,253
253,851486,254
254,855877,255
255,852410,256
256,854229,257
257,853186,258
258,852806,259
259,855605,260
260,850647,261
261,852129,262
262,852979,263
263,852765,264
264,856859,265
265,853195,266
266,852895,267
267,852269,268
268,855761,269
269,851899,270
270,853562,271
271,854519,272
272,851933,273
273,855695,274
274,856817,275
275,9164916,276
276,856048,277
277,856129,278
278,850565,279
279,855630,280
280,850692,281
281,856337,282
282,855514,283
283,853870,284
284,851263,285
285,1466482,286
286,852047,287
287,850521,288
288,854872,289
289,855912,290
290,9164887,291
291,856057,292
292,855143,293
293,855245,294
294,853390,295
295,853546,296
296,855009,297
297,856714,298
298,852828,299
299,851703,300
300,853847,301
301,855553,302
302,850691,303
303,854364,304
304,854191,305
305,855411,306
306,853878,307
307,854356,308
308,855967,309
309,854151,310
310,853938,311
311,852512,312
312,851813,313
313,851721,314
314,850398,315
315,854038,316
316,850704,317
317,850901,318
318,856360,319
319,853802,320
320,851005,321
321,855422,322
322,853237,323
323,850433,324
324,850611,325
325,852468,326
326,853828,327
327,852316,328
328,855496,329
329,855029,330
330,855893,331
331,851168,332
332,855805,333
333,855116,334
334,851252,335
335,850864,336
336,856005,337
337,856821,338
338,854756,339
339,853635,340
340,850778,341
341,853498,342
342,853632,343
343,852286,344
344,1466483,345
345,856408,346
346,855163,347
347,850809,348
348,853399,349
349,855783,350
350,851372,351
351,855408,352
352,850312,353
353,856366,354
354,855067,355
355,852479,356
356,852976,357
357,853985,358
358,852395,359
359,854149,360
360,852890,361
361,850956,362
362,850570,363
363,850636,364
364,851636,365
365,856365,366
366,854039,367
367,856759,368
368,852984,369
369,856049,370
370,854901,371
371,855440,372
372,853890,373
373,856470,374
374,853050,375
375,854087,376
376,852086,377
377,855372,378
378,850523,379
379,855227,380
380,852173,381
381,853031,382
382,850673,383
383,851266,384
384,855192,385
385,855164,386
386,855457,387
387,855253,388
388,856200,389
389,854877,390
390,853400,391
391,1466534,392
392,852460,393
393,852088,394
394,851533,395
395,851358,396
396,851707,397
397,852867,398
398,852953,399
399,851814,400
400,851345,401
401,852483,402
402,851432,403
403,1466437,404
404,853801,405
405,1466460,406
406,851322,407
407,856753,408
408,850322,409
409,855269,410
410,855456,411
411,850878,412
412,852200,413
413,854934,414
414,855628,415
415,856342,416
416,856220,417
417,854344,418
418,852662,419
419,856349,420
420,853727,421
421,851775,422
422,3799978,423
423,852833,424
424,853959,425
425,850485,426
426,850631,427
427,854740,428
428,853752,429
429,855774,430
430,852791,431
431,855205,432
432,851193,433
433,850347,434
434,852026,435
435,852128,436
436,851697,437
437,850685,438
438,854027,439
439,856541,440
440,854388,441
441,856832,442
442,856688,443
443,854452,444
444,853165,445
445,855418,446
446,853020,447
447,851559,448
448,9164866,449
449,851905,450
450,853574,451
451,851018,452
452,851464,453
453,852494,454
454,850309,455
455,856513,456
456,853829,457
457,852441,458
458,853775,459
459,851810,460
460,854073,461
461,852002,462
462,852962,463
463,854723,464
464,853349,465
465,851664,466
466,1466457,467
467,850554,468
468,852950,469
469,851208,470
470,852968,471
471,856602,472
472,1466498,473
473,856595,474
474,854494,475
475,853455,476
476,855728,477
477,850352,478
478,856332,479
479,851518,480
480,854213,481
481,853825,482
482,851129,483
483,13393611,484
484,851591,485
485,851232,486
486,854102,487
487,854043,488
488,850377,489
489,856166,490
490,855545,491
491,9164907,492
492,855243,493
493,850348,494
494,853130,495
495,854424,496
496,853853,497
497,854915,498
498,852620,499
499,852844,500
500,850353,501
501,853282,502
502,855899,503
503,9164882,504
504,850338,505
505,855278,506
506,854480,507
507,856322,508
508,853880,509
509,856535,510
510,851368,511
511,851877,512
512,853233,513
513,854812,514
514,850721,515
515,855168,516
516,853991,517
517,850457,518
518,856085,519
519,856604,520
520,856317,521
521,852455,522
522,854252,523
523,855533,524
524,851170,525
525,856551,526
526,851187,527
527,852484,528
528,853396,529
529,852557,530
530,855221,531
531,855393,532
532,851781,533
533,851407,534
534,852189,535
535,9164901,536
536,854571,537
537,854345,538
538,853315,539
539,855890,540
540,853467,541
541,856668,542
542,855363,543
543,851401,544
544,854926,545
545,1466474,546
546,856375,547
547,851099,548
548,853488,549
549,854251,550
550,851599,551
551,853898,552
552,854785,553
553,851182,554
554,851638,555
555,851985,556
556,850627,557
557,852722,558
558,856165,559
559,851150,560
560,850587,561
561,850531,562
562,851598,563
563,854570,564
564,852788,565
565,856191,566
566,853557,567
567,851963,568
568,854014,569
569,850859,570
570,852789,571
571,852644,572
572,1466526,573
573,853365,574
574,852664,575
575,9164870,576
576,850944,577
577,852179,578
578,856370,579
579,852589,580
580,851423,581
581,856815,582
582,856311,583
583,853699,584
584,855257,585
585,850632,586
586,856325,587
587,854562,588
588,1466513,589
589,852734,590
590,856196,591
591,854359,592
592,852966,593
593,855240,594
594,855294,595
595,852285,596
596,856925,597
597,854016,598
598,852897,599
599,855060,600
600,856293,601
601,854350,602
602,855958,603
603,856022,604
604,852925,605
605,852051,606
606,851558,607
607,854156,608
608,854768,609
609,853286,610
610,854878,611
611,855603,612
612,855300,613
613,852389,614
614,855850,615
615,853714,616
616,855597,617
617,851672,618
618,854742,619
619,855926,620
620,852536,621
621,850836,622
622,855203,623
623,853124,624
624,856479,625
625,855507,626
626,850375,627
627,852569,628
628,852947,629
629,852450,630
630,854534,631
631,854716,632
632,856926,633
633,852379,634
634,853155,635
635,855154,636
636,856233,637
637,851332,638
638,850690,639
639,850902,640
640,856309,641
641,855347,642
642,853525,643
643,850376,644
644,9164902,645
645,855252,646
646,850903,647
647,855021,648
648,855066,649
649,855270,650
650,851078,651
651,852960,652
652,854876,653
653,854711,654
654,856182,655
655,854728,656
656,853763,657
657,854710,658
658,851021,659
659,853891,660
660,851437,661
661,855487,662
662,853017,663
663,853969,664
664,855987,665
665,852433,666
666,852058,667
667,856710,668
668,852903,669
669,9164974,670
670,854358,671
671,850764,672
672,856387,673
673,854273,674
674,856323,675
675,851200,676
676,855414,677
677,851989,678
678,855131,679
679,856554,680
680,853359,681
681,854790,682
682,856447,683
683,853957,684
684,852262,685
685,856159,686
686,853899,687
687,855730,688
688,855318,689
689,854819,690
690,855033,691
691,850295,692
692,852684,693
693,852891,694
694,854883,695
695,853945,696
696,850839,697
697,852422,698
698,854508,699
699,850539,700
700,856639,701
701,856842,702
702,856581,703
703,853526,704
704,853634,705
705,855641,706
706,854936,707
707,851524,708
708,853640,709
709,855125,710
710,850408,711
711,850455,712
712,856267,713
713,856178,714
714,854737,715
715,852971,716
716,1466538,717
717,852192,718
718,853981,719
719,854072,720
720,851073,721
721,855675,722
722,852986,723
723,852304,724
724,856866,725
725,851867,726
726,851175,727
727,855810,728
728,856630,729
729,9164898,730
730,851787,731
731,854545,732
732,851251,733
733,853204,734
734,852245,735
735,856736,736
736,850653,737
737,855538,738
738,855254,739
739,9164909,740
740,855512,741
741,854777,742
742,852273,743
743,855196,744
744,1466500,745
745,854247,746
746,853308,747
747,854657,748
748,854758,749
749,856292,750
750,851429,751
751,850964,752
752,852611,753
753,9164877,754
754,855559,755
755,853421,756
756,856920,757
757,855543,758
758,854030,759
759,850688,760
760,855956,761
761,9164959,762
762,851705,763
763,851421,764
764,856281,765
765,851922,766
766,851030,767
767,855049,768
768,851774,769
769,850422,770
770,855953,771
771,855960,772
772,855015,773
773,855485,774
774,853693,775
775,852948,776
776,852692,777
777,853806,778
778,853096,779
779,852796,780
780,855077,781
781,853850,782
782,851126,783
783,852095,784
784,851786,785
785,854696,786
786,850492,787
787,851788,788
788,853287,789
789,851381,790
790,855268,791
791,854230,792
792,856004,793
793,853333,794
794,855596,795
795,850675,796
796,851262,797
797,855845,798
798,850515,799
799,856485,800
800,850952,801
801,853794,802
802,851324,803
803,851658,804
804,856098,805
805,856449,806
806,851040,807
807,850496,808
808,851879,809
809,850774,810
810,851146,811
811,854741,812
812,850359,813
813,853266,814
814,854991,815
815,852910,816
816,854198,817
817,852778,818
818,853160,819
819,853778,820
820,852045,821
821,850573,822
822,853429,823
823,851995,824
824,854314,825
825,854809,826
826,856146,827
827,853288,828
828,854244,829
829,850808,830
830,855609,831
831,853550,832
832,855104,833
833,852588,834
834,850694,835
835,854415,836
836,852736,837
