,gene,int
0,850822,1
1,856669,2
2,852554,3
3,852277,4
4,850541,5
5,850719,6
6,851487,7
7,854303,8
8,856867,9
9,851478,10
10,855850,11
11,851713,12
12,851517,13
13,855263,14
14,853938,15
15,852818,16
16,854783,17
17,856170,18
18,13393611,19
19,852383,20
20,851830,21
21,852697,22
22,855402,23
23,850485,24
24,855628,25
25,853999,26
26,854556,27
27,852737,28
28,852378,29
29,1466401,30
30,855004,31
31,854016,32
32,855194,33
33,851593,34
34,854050,35
35,855620,36
36,852216,37
37,850966,38
38,856688,39
39,853082,40
40,856304,41
41,851068,42
42,852211,43
43,854724,44
44,851577,45
45,851365,46
46,853434,47
47,853808,48
48,855048,49
49,852307,50
50,9164976,51
51,853097,52
52,854042,53
53,855669,54
54,855416,55
55,852108,56
56,855164,57
57,855127,58
58,9164887,59
59,852215,60
60,855562,61
61,854306,62
62,852206,63
63,855902,64
64,855304,65
65,852744,66
66,851410,67
67,856038,68
68,856918,69
69,856024,70
70,850411,71
71,855945,72
72,850625,73
73,852601,74
74,853225,75
75,853931,76
76,855328,77
77,853785,78
78,854930,79
79,856356,80
80,852705,81
81,852749,82
82,852504,83
83,855780,84
84,856883,85
85,851251,86
86,855821,87
87,852629,88
88,850812,89
89,853899,90
90,852357,91
91,851335,92
92,856490,93
93,856198,94
94,852977,95
95,855196,96
96,9164963,97
97,850920,98
98,851515,99
99,851558,100
100,853716,101
101,855484,102
102,853009,103
103,856751,104
104,853166,105
105,851745,106
106,851173,107
107,852795,108
108,852937,109
109,852665,110
110,854732,111
111,851398,112
112,854545,113
113,854423,114
114,852425,115
115,851169,116
116,854077,117
117,853390,118
118,850894,119
119,855731,120
120,854734,121
121,856737,122
122,855656,123
123,853338,124
124,854129,125
125,852753,126
126,856714,127
127,853566,128
128,853494,129
129,852332,130
130,852513,131
131,853464,132
132,852618,133
133,851805,134
134,854368,135
135,853952,136
136,855384,137
137,853011,138
138,852535,139
139,1466475,140
140,856602,141
141,856447,142
142,856445,143
143,852058,144
144,853924,145
145,855264,146
146,854445,147
147,854690,148
148,1466441,149
149,854424,150
150,853534,151
151,852545,152
152,855877,153
153,854398,154
154,853558,155
155,854126,156
156,853524,157
157,850619,158
158,854698,159
159,854974,160
160,853586,161
161,856385,162
162,850298,163
163,855136,164
164,1466488,165
165,852233,166
166,852642,167
167,855758,168
168,853138,169
169,853980,170
170,853843,171
171,851041,172
172,855068,173
173,855545,174
174,850796,175
175,851207,176
176,851616,177
177,852428,178
178,856654,179
179,853391,180
180,852919,181
181,852445,182
182,855261,183
183,855422,184
184,852300,185
185,852550,186
186,856583,187
187,853188,188
188,853594,189
189,850327,190
190,854553,191
191,854912,192
192,853436,193
193,851156,194
194,855440,195
195,855285,196
196,850914,197
197,853599,198
198,852577,199
199,854448,200
200,855044,201
201,853972,202
202,853741,203
203,853247,204
204,856471,205
205,853322,206
206,851456,207
207,850377,208
208,850385,209
209,856710,210
210,852834,211
211,850534,212
212,853487,213
213,855686,214
214,856811,215
215,850639,216
216,855530,217
217,853790,218
218,855790,219
219,854222,220
220,853939,221
221,851067,222
222,851206,223
223,855649,224
224,853607,225
225,852248,226
226,852765,227
227,854957,228
228,1466457,229
229,855003,230
230,850942,231
231,850442,232
232,9164957,233
233,852017,234
234,852427,235
235,854676,236
236,853616,237
237,856165,238
238,9164901,239
239,856472,240
240,851399,241
241,1466430,242
242,854080,243
243,855110,244
244,854663,245
245,855282,246
246,850342,247
247,853780,248
248,854506,249
249,851325,250
250,850789,251
251,856560,252
252,853151,253
253,856331,254
254,853845,255
255,853787,256
256,854173,257
257,855168,258
258,851354,259
259,855371,260
260,855221,261
261,852023,262
262,850772,263
263,850746,264
264,855905,265
265,855497,266
266,851416,267
267,850357,268
268,855647,269
269,850401,270
270,851537,271
271,9164959,272
272,851943,273
273,855748,274
274,853280,275
275,853528,276
276,856572,277
277,852448,278
278,855449,279
279,853983,280
280,852435,281
281,854695,282
282,854029,283
283,855980,284
284,854382,285
285,854394,286
286,855901,287
287,850353,288
288,856002,289
289,855955,290
290,854104,291
291,851128,292
292,856362,293
293,855175,294
294,854544,295
295,852362,296
296,855636,297
297,851514,298
298,855258,299
299,854404,300
300,852598,301
301,854324,302
302,853029,303
303,854894,304
304,852819,305
305,854901,306
306,851362,307
307,853332,308
308,853354,309
309,856063,310
310,855533,311
311,854943,312
312,853207,313
313,851642,314
314,852159,315
315,851814,316
316,853565,317
317,850453,318
318,855041,319
319,854746,320
320,855386,321
321,852295,322
322,852065,323
323,853683,324
324,851051,325
325,854954,326
326,854213,327
327,9164868,328
328,856227,329
329,855708,330
330,855487,331
331,850997,332
332,856555,333
333,850912,334
334,855222,335
335,851525,336
336,855424,337
337,856892,338
338,9164882,339
339,854113,340
340,854363,341
341,851676,342
342,856827,343
343,852531,344
344,855006,345
345,854830,346
346,851638,347
347,853492,348
348,853003,349
349,855399,350
350,852651,351
351,854128,352
352,856673,353
353,854342,354
354,854123,355
355,853631,356
356,852245,357
357,850919,358
358,853310,359
359,855645,360
360,856018,361
361,854530,362
362,854883,363
363,850656,364
364,855728,365
365,852935,366
366,856603,367
367,855436,368
368,855537,369
369,852825,370
370,851576,371
371,851317,372
372,856324,373
373,850717,374
374,852649,375
375,1466419,376
376,854171,377
377,853393,378
378,853155,379
379,851589,380
380,856727,381
381,853814,382
382,852986,383
383,856698,384
384,856148,385
385,853461,386
386,851657,387
387,852438,388
388,853981,389
389,855605,390
390,854688,391
391,856180,392
392,852048,393
393,850635,394
394,853702,395
395,855879,396
396,855411,397
397,853606,398
398,855930,399
399,855166,400
400,856332,401
401,854772,402
402,854535,403
403,851202,404
404,852416,405
405,853713,406
406,854703,407
407,854249,408
408,853368,409
409,854563,410
410,856935,411
411,856538,412
412,851220,413
413,851763,414
414,852365,415
415,852063,416
416,856072,417
417,850360,418
418,850983,419
419,851092,420
420,852231,421
421,853269,422
422,852007,423
423,850604,424
424,853056,425
425,852431,426
426,853522,427
427,850400,428
428,851604,429
429,853937,430
430,853978,431
431,853173,432
432,852892,433
433,9164889,434
434,853178,435
435,854138,436
436,853267,437
437,854418,438
438,856311,439
439,851723,440
440,853335,441
441,855560,442
442,853002,443
443,855767,444
444,855373,445
445,852951,446
446,855897,447
447,852500,448
448,855501,449
449,850405,450
450,856507,451
451,854718,452
452,855108,453
453,853209,454
454,852001,455
455,850963,456
456,851722,457
457,854503,458
458,852002,459
459,854208,460
460,855833,461
461,855603,462
462,853372,463
463,855875,464
464,853075,465
465,854879,466
466,855503,467
467,854277,468
468,854753,469
469,852547,470
470,853042,471
471,851282,472
472,851172,473
473,854271,474
474,851256,475
475,851056,476
476,855483,477
477,852091,478
478,855316,479
479,852893,480
480,851073,481
481,853846,482
482,855838,483
483,854201,484
484,856217,485
485,851957,486
486,1466417,487
487,852619,488
488,855962,489
489,853562,490
490,850722,491
491,1466538,492
492,851234,493
493,853767,494
494,852904,495
495,851632,496
496,855303,497
497,855754,498
498,854155,499
499,852835,500
500,854970,501
501,851445,502
502,851620,503
503,854477,504
504,1466437,505
505,851508,506
506,852519,507
507,854874,508
508,856479,509
509,852763,510
510,852386,511
511,851611,512
512,853634,513
513,853568,514
514,853041,515
515,850829,516
516,1466526,517
517,851640,518
518,852104,519
519,853666,520
520,851708,521
521,1466469,522
522,856885,523
523,851366,524
524,856743,525
525,852443,526
526,852713,527
527,853484,528
528,853048,529
529,855369,530
530,850570,531
531,854204,532
532,853757,533
533,851506,534
534,853531,535
535,856399,536
536,851817,537
537,854737,538
538,851008,539
539,856293,540
540,854200,541
541,856105,542
542,851545,543
543,856518,544
544,854515,545
545,1466421,546
546,1466433,547
547,856524,548
548,855769,549
549,850443,550
550,850777,551
551,851284,552
552,856864,553
553,853613,554
554,856718,555
555,854379,556
556,853941,557
557,856705,558
558,856468,559
559,856681,560
560,853472,561
561,856881,562
562,852950,563
563,855829,564
564,852897,565
565,854088,566
566,852305,567
567,856032,568
568,851311,569
569,852602,570
570,852398,571
571,853023,572
572,852316,573
573,9164916,574
574,853361,575
575,850389,576
576,852963,577
577,852772,578
578,852760,579
579,856167,580
580,856664,581
581,852419,582
582,851606,583
583,23547381,584
584,854898,585
585,850768,586
586,854241,587
587,854682,588
588,9164987,589
589,854845,590
590,851330,591
591,855338,592
592,856322,593
593,852530,594
594,851048,595
595,856098,596
596,854212,597
