,gene,int
0,YDR004W,1
1,YOR011W-A,2
2,YLR239C,3
3,YBR260C,4
4,YJL002C,5
5,YGL211W,6
6,YHR036W,7
7,YGL244W,8
8,YNR041C,9
9,YDR488C,10
10,YCL026C-B,11
11,YGR204C-A,12
12,YDR079W,13
13,YDR045C,14
14,YJR085C,15
15,YLR136C,16
16,YGL258W,17
17,YBL106C,18
18,YFL013W-A,19
19,YER015W,20
20,YEL018W,21
21,YJL011C,22
22,YPL038W-A,23
23,YJR015W,24
24,YKR009C,25
25,YHL015W-A,26
26,YER186C,27
27,YPR102C,28
28,YBR257W,29
29,YNL076W,30
30,YLR110C,31
31,YFL032W,32
32,YER117W,33
33,YCR044C,34
34,YBR215W,35
35,YNL300W,36
36,YLR370C,37
37,YLR457C,38
38,YBR268W,39
39,YMR069W,40
40,YLR417W,41
41,YBR280C,42
42,YJL091C,43
43,YHR188C,44
44,YJL209W,45
45,YDR137W,46
46,YDR509W,47
47,YPR065W,48
48,YMR154C,49
49,YDR060W,50
50,YER042W,51
51,YDL097C,52
52,YJL029C,53
53,YAL064W,54
54,YJL095W,55
55,YDR228C,56
56,YJL052C-A,57
57,YFR052W,58
58,YDL098C,59
59,YDR021W,60
60,YDL118W,61
61,YPL280W,62
62,YJL056C,63
63,YBR060C,64
64,YIL026C,65
65,YIL033C,66
66,YLR307W,67
67,YFL065C,68
68,YNR064C,69
69,YPR158W,70
70,YJR121W,71
71,YOR201C,72
72,YIL013C,73
73,YBR087W,74
74,YLL040C,75
75,YLL004W,76
76,YGL086W,77
77,YOR002W,78
78,YGL005C,79
79,YHL006C,80
80,YLR186W,81
81,YCR099C,82
82,YJL172W,83
83,YFR017C,84
84,YLR384C,85
85,YCL046W,86
86,YLR067C,87
87,YHR200W,88
88,YER149C,89
89,YDR167W,90
90,YBL029C-A,91
91,YGR078C,92
92,YPL128C,93
93,YMR190C,94
94,YNL085W,95
95,YBR095C,96
96,YKL197C,97
97,YDR166C,98
98,YER030W,99
99,YHR067W,100
100,YHR097C,101
101,YDR524W-C,102
102,YDR512C,103
103,YNL151C,104
104,YNR035C,105
105,YER041W,106
106,YOR362C,107
107,YLR081W,108
108,YDR473C,109
109,YBL091C,110
110,YGR258C,111
111,YGL011C,112
112,YJL169W,113
113,YHR051W,114
114,YDL147W,115
115,YBR037C,116
116,YJL074C,117
117,YMR080C,118
118,YBR254C,119
119,YPL209C,120
120,YFL018C,121
121,YOL101C,122
122,YMR008C,123
123,YPL018W,124
124,YNL193W,125
125,YCL045C,126
126,YJL123C,127
127,YDR329C,128
128,YBR188C,129
129,YFR042W,130
130,YGL063W,131
131,YGR209C,132
132,YJR008W,133
133,YKL041W,134
134,YNL262W,135
135,YBR252W,136
136,YHR113W,137
137,YKL156W,138
138,YLR129W,139
139,YNR016C,140
140,YOR308C,141
141,YDL095W,142
142,YNL173C,143
143,YJL082W,144
144,YGL103W,145
145,YDR436W,146
146,YNL065W,147
147,YDL138W,148
148,YDL145C,149
149,YJL130C,150
150,YKL112W,151
151,YCL044C,152
152,YML041C,153
153,YGR179C,154
154,YPR047W,155
155,YHR012W,156
156,YKL089W,157
157,YMR115W,158
158,YGL236C,159
159,YKR006C,160
160,YDL006W,161
161,YPR060C,162
162,YAR029W,163
163,YDL085C-A,164
164,YDR320C,165
165,YDR515W,166
166,YPR180W,167
167,YDL007W,168
168,YFR004W,169
169,YGL219C,170
170,YLR337C,171
171,YEL003W,172
172,YAL023C,173
173,YPR021C,174
174,YDR013W,175
175,YJL146W,176
176,YDR246W,177
177,YJL034W,178
178,YIL089W,179
179,YHL027W,180
180,YPL028W,181
181,YPL119C-A,182
182,YHR151C,183
183,YMR067C,184
184,YEL027W,185
185,YNR002C,186
186,YLR221C,187
187,YJL210W,188
188,YIL004C,189
189,YLR031W,190
190,YDR331W,191
191,YOR390W,192
192,YNR011C,193
193,YER057C,194
194,YNR005C,195
195,YIL052C,196
196,YLR119W,197
197,YOR254C,198
198,YDR014W,199
199,YEL001C,200
200,YBL044W,201
201,YOR249C,202
202,YPL265W,203
203,YKL172W,204
204,YLR064W,205
205,YEL002C,206
206,YMR201C,207
207,YKL133C,208
208,YLR160C,209
209,YOR094W,210
210,YCR026C,211
211,YLR319C,212
212,YML094W,213
213,YDL093W,214
214,YDR325W,215
215,YPR111W,216
216,YCR033W,217
217,YDR392W,218
218,YGR213C,219
219,YDR363W,220
220,YNL038W,221
221,YGL113W,222
222,YKL221W,223
223,YDR376W,224
224,YLR069C,225
225,YML015C,226
226,YLR356W,227
227,YOR034C-A,228
228,YOR340C,229
229,YOR092W,230
230,YDR158W,231
231,YPR036W,232
232,YMR133W,233
233,YDR117C,234
234,YFR027W,235
235,YGR174C,236
236,YAL044C,237
237,YLR103C,238
238,YDR494W,239
239,YOL070C,240
240,YDR296W,241
241,YDL069C,242
242,YAR002W,243
243,YGL027C,244
244,YPL172C,245
