,gene,int
0,YLR393W,1
1,YPL038W,2
2,YOR117W,3
3,YGR106C,4
4,YJR041C,5
5,YPL233W,6
6,YPR078C,7
7,YHR188C,8
8,YDL006W,9
9,YLR204W,10
10,YAL024C,11
11,YJL058C,12
12,YER169W,13
13,YJL127C,14
14,YDR111C,15
15,YMR127C,16
16,YBR151W,17
17,YGL089C,18
18,YDL021W,19
19,YNL095C,20
20,YPR155C,21
21,YFL012W,22
22,YFL056C,23
23,YKR105C,24
24,YGR016W,25
25,YLL001W,26
26,YER014C-A,27
27,YEL001C,28
28,YDR191W,29
29,YDL059C,30
30,YGR266W,31
31,YHR144C,32
32,YPL162C,33
33,YDR279W,34
34,YBL021C,35
35,YPL169C,36
36,YLR063W,37
37,YAL042C-A,38
38,YDR337W,39
39,YLR039C,40
40,YDR484W,41
41,YDL083C,42
42,YNR020C,43
43,YNL157W,44
44,YGL238W,45
45,YBL062W,46
46,YER034W,47
47,YDR378C,48
48,YDR537C,49
49,YMR219W,50
50,YGL079W,51
51,YDR325W,52
52,YBR029C,53
53,YML038C,54
54,YNL145W,55
55,YJL148W,56
56,YLR179C,57
57,YDR211W,58
58,YMR135C,59
59,YDR435C,60
60,YFR030W,61
61,YJL044C,62
62,YKR076W,63
63,YNR036C,64
64,YDL020C,65
65,YKL021C,66
66,YML127W,67
67,YLR269C,68
68,YGR022C,69
69,YHL025W,70
70,YNR017W,71
71,YKL055C,72
72,YFL064C,73
73,YNL216W,74
74,YMR171C,75
75,YGR068C,76
76,YOR069W,77
77,YDR147W,78
78,YMR157C,79
79,YGR146C,80
80,YBL107C,81
81,YMR009W,82
82,YHR128W,83
83,YLL043W,84
84,YMR192W,85
85,YMR260C,86
86,YOR339C,87
87,YDR080W,88
88,YJL013C,89
89,YER044C-A,90
90,YJL033W,91
91,YGR105W,92
92,YML030W,93
93,YLR126C,94
94,YJL023C,95
95,YOR008C-A,96
96,YGR287C,97
97,YDR414C,98
98,YDR116C,99
99,YDR307W,100
100,YML081W,101
101,YGR127W,102
102,YFR012W,103
103,YCR079W,104
104,YNR065C,105
105,YGL175C,106
106,YBR299W,107
107,YLL012W,108
108,YER067W,109
109,YDR264C,110
110,YOR244W,111
111,YBL008W,112
112,YOL060C,113
113,YPL089C,114
114,YBR247C,115
115,YJR118C,116
116,YDR196C,117
117,YDR153C,118
118,YLR303W,119
119,YGL192W,120
120,YLR067C,121
121,YOR144C,122
122,YDR268W,123
123,YLL013C,124
124,YHL003C,125
125,YNR002C,126
126,YMR150C,127
127,YLL021W,128
128,YDR056C,129
129,YBL103C,130
130,YMR016C,131
131,YNR007C,132
132,YDL079C,133
133,YCL012W,134
134,YLR340W,135
135,YLR148W,136
136,YDR450W,137
137,YLR094C,138
138,YHR141C,139
139,YGR260W,140
140,YNL144C,141
141,YNL236W,142
142,YDR021W,143
143,YDL239C,144
144,YDR180W,145
145,YIL107C,146
146,YDL142C,147
147,YOR116C,148
148,YER004W,149
149,YNL136W,150
150,YLR056W,151
151,YLR091W,152
152,YKL065C,153
153,YBR067C,154
154,YJR065C,155
155,YNL041C,156
156,YMR252C,157
157,YLR162W-A,158
158,YBR154C,159
159,YBL034C,160
160,YLR252W,161
161,YDL133C-A,162
162,YCR005C,163
163,YNL294C,164
164,YOL069W,165
165,YIL151C,166
166,YAL029C,167
167,YOL040C,168
168,YIL164C,169
169,YBR053C,170
170,YGR225W,171
171,YDR460W,172
172,YDR395W,173
173,YMR145C,174
174,YOR120W,175
175,YOR013W,176
176,YBR182C-A,177
177,YDR401W,178
178,YPL127C,179
179,YPL083C,180
180,YNL126W,181
181,YNL056W,182
182,YLR417W,183
183,YPL017C,184
184,YPL242C,185
185,YBR245C,186
186,YGR209C,187
187,YDR223W,188
188,YKR009C,189
189,YJL067W,190
190,YDR178W,191
191,YDR163W,192
192,YPR200C,193
193,YDR398W,194
194,YHR108W,195
195,YNL138W,196
196,YJL223C,197
197,YOL155W-A,198
198,YCR030C,199
199,YHR099W,200
200,YKL082C,201
201,YOR261C,202
202,YMR154C,203
203,YGR245C,204
204,YHR088W,205
205,YLR295C,206
206,YJL184W,207
207,YAR042W,208
208,YLR344W,209
209,YEL052W,210
210,YOL125W,211
211,YEL018W,212
212,YDR434W,213
213,YDR498C,214
214,YPR044C,215
215,YLR071C,216
216,YDR310C,217
217,YJR138W,218
218,YBR087W,219
219,YDR535C,220
220,YBL105C,221
221,YMR048W,222
222,YPR129W,223
223,YJR042W,224
224,YPR179C,225
225,YER027C,226
226,YGR036C,227
227,YDR519W,228
228,YER136W,229
229,YKR027W,230
230,YNL031C,231
231,YCR100C,232
232,YCL016C,233
233,YER111C,234
234,YOL095C,235
235,YLL033W,236
236,YHR199C,237
237,YGL123W,238
238,YBR058C,239
239,YIR004W,240
240,YER019W,241
241,YHR152W,242
242,YBR056W,243
243,YBR233W,244
244,YHR050W,245
245,YCL005W,246
246,YNL333W,247
247,YPL192C,248
248,YGL148W,249
249,YPL047W,250
250,YBR063C,251
251,YGR067C,252
252,YGL098W,253
253,YMR175W-A,254
254,YGR109C,255
255,YGR257C,256
256,YPL096W,257
257,YER047C,258
258,YMR270C,259
259,YJL014W,260
260,YJL051W,261
261,YDL137W,262
262,YER058W,263
263,YER093C-A,264
264,YOL105C,265
265,YGL263W,266
266,YOR338W,267
267,YKR057W,268
268,YGL024W,269
269,YEL034W,270
270,YLL016W,271
271,YKL148C,272
272,YGL240W,273
273,YMR049C,274
274,YJL052C-A,275
275,YDR306C,276
276,YDL231C,277
277,YFR036W,278
278,YDR062W,279
279,YJR066W,280
280,YMR322C,281
281,YKL028W,282
282,YLR019W,283
283,YAL028W,284
284,YLR307C-A,285
285,YDL195W,286
286,YBR291C,287
287,YPL144W,288
288,YJL203W,289
289,YOL092W,290
290,YBR296C,291
291,YPL209C,292
292,YDR380W,293
293,YOR054C,294
294,YMR029C,295
295,YDR146C,296
296,YLR443W,297
297,YGL213C,298
298,YIL043C,299
299,YNL318C,300
300,YOL052C-A,301
301,YJR116W,302
302,YJL017W,303
303,YGR092W,304
304,YJR060W,305
305,YOL159C,306
306,YMR247C,307
