,gene,int
0,YLR028C,1
1,YBR237W,2
2,YLR169W,3
3,YBL101C,4
4,YNL055C,5
5,YGL178W,6
6,YBL059C-A,7
7,YDR514C,8
8,YDR541C,9
9,YDL230W,10
10,YOR301W,11
11,YHR030C,12
12,YML116W,13
13,YIL019W,14
14,YML007C-A,15
15,YDR453C,16
16,YDL172C,17
17,YDL203C,18
18,YLR294C,19
19,YLR096W,20
20,YJL146W,21
21,YER103W,22
22,YOR361C,23
23,YCR049C,24
24,YLR263W,25
25,YPL046C,26
26,YFR030W,27
27,YHL002W,28
28,YLR054C,29
29,YNL128W,30
30,YOR091W,31
31,YIL014C-A,32
32,YOL056W,33
33,YOL110W,34
34,YJR021C,35
35,YIL109C,36
36,YDL181W,37
37,YOR332W,38
38,YDR524W-C,39
39,YKR061W,40
40,YAR033W,41
41,YDR311W,42
42,YML001W,43
43,YPL155C,44
44,YDR217C,45
45,YDR325W,46
46,YBL021C,47
47,YER129W,48
48,YOL092W,49
49,YPL146C,50
50,YMR197C,51
51,YJR101W,52
52,YHR191C,53
53,YLR431C,54
54,YDL122W,55
55,YPR038W,56
56,YDL153C,57
57,YOR033C,58
58,YGR222W,59
59,YLR229C,60
60,YJR073C,61
61,YKL190W,62
62,YER046W,63
63,YML128C,64
64,YPL088W,65
65,YDL178W,66
66,YOL160W,67
67,YGR143W,68
68,YNL049C,69
69,YCR020W-B,70
70,YDR125C,71
71,YMR143W,72
72,YER119C-A,73
73,YHR133C,74
74,YNR055C,75
75,YML122C,76
76,YLR026C,77
77,YMR100W,78
78,YLR208W,79
79,YMR312W,80
80,YOR277C,81
81,YPL239W,82
82,YPL257W,83
83,YPL242C,84
84,YAR035C-A,85
85,YPR076W,86
86,YLR045C,87
87,YBR276C,88
88,YHL044W,89
89,YLR154C,90
90,YBR281C,91
91,YKL048C,92
92,YGL131C,93
93,YGR023W,94
94,YIL128W,95
95,YMR176W,96
96,YOR271C,97
97,YBR007C,98
98,YNL275W,99
99,YJL193W,100
100,YMR270C,101
101,YOL050C,102
102,YOR283W,103
103,YDR150W,104
104,YKR086W,105
105,YOR173W,106
106,YLR449W,107
107,YCL034W,108
108,YHR157W,109
109,YBR123C,110
110,YNR060W,111
111,YHL001W,112
112,YHL030W,113
113,YBL071C,114
114,YGR075C,115
115,YLL016W,116
116,YKL054C,117
117,YOR197W,118
118,YLR065C,119
119,YIL002W-A,120
120,YMR275C,121
121,YPR098C,122
122,YPR183W,123
123,YNL250W,124
124,YDR174W,125
125,YKR064W,126
126,YMR325W,127
127,YGL168W,128
128,YMR244C-A,129
129,YGR022C,130
130,YNL090W,131
131,YAL039C,132
132,YPR039W,133
133,YDR076W,134
134,YMR255W,135
135,YIL112W,136
136,YML012W,137
137,YOR068C,138
138,YEL013W,139
139,YIL137C,140
140,YDR219C,141
141,YMR301C,142
142,YAL021C,143
143,YIR014W,144
144,YJL045W,145
145,YPR172W,146
146,YGL080W,147
147,YLR271W,148
148,YFR011C,149
149,YLR423C,150
150,YOR014W,151
151,YKR096W,152
152,YOR333C,153
153,YIL125W,154
154,YHR046C,155
155,YJR147W,156
156,YLR110C,157
157,YGR229C,158
158,YBR186W,159
159,YOL013C,160
160,YMR257C,161
161,YMR155W,162
162,YOL114C,163
163,YKR100C,164
164,YIL071C,165
165,YLR343W,166
166,YER080W,167
167,YIL046W-A,168
168,YCR005C,169
169,YNR025C,170
170,YDR319C,171
171,YGL248W,172
172,YPR020W,173
173,YBL063W,174
174,YPR004C,175
175,YPL054W,176
176,YLR021W,177
177,YIL097W,178
178,YLR086W,179
179,YKL191W,180
180,YNL027W,181
181,YPR008W,182
182,YAL025C,183
183,YKL145W,184
184,YHR147C,185
185,YDR448W,186
186,YIL055C,187
187,YMR039C,188
188,YAL015C,189
189,YBR246W,190
190,YJR120W,191
191,YHR069C,192
192,YOR163W,193
193,YJR007W,194
194,YDL022W,195
195,YPR115W,196
196,YDL240W,197
197,YOR180C,198
198,YML110C,199
199,YOL164W-A,200
200,YOR388C,201
201,YIL113W,202
202,YNR075C-A,203
203,YDR032C,204
204,YOR107W,205
205,YDR337W,206
206,YAR073W,207
207,YJR083C,208
208,YDL135C,209
209,YKL104C,210
210,YER183C,211
211,YMR253C,212
212,YML111W,213
213,YMR120C,214
214,YMR194W,215
215,YOR126C,216
216,YBR296C,217
217,YPR157W,218
218,YNR031C,219
219,YNL145W,220
220,YPL220W,221
221,YOR328W,222
222,YNL107W,223
223,YKR066C,224
224,YDL043C,225
225,YMR015C,226
226,YJL201W,227
227,YML100W,228
228,YPR019W,229
229,YOL121C,230
230,YNL232W,231
231,YDR424C,232
232,YPR131C,233
233,YCR077C,234
234,YIL026C,235
235,YPL224C,236
236,YDL010W,237
237,YFL018C,238
238,YPL021W,239
239,YNL164C,240
240,YGL019W,241
241,YCR087C-A,242
242,YNL047C,243
243,YGL046W,244
244,YMR166C,245
245,YOL073C,246
246,YAR044W,247
247,YGL142C,248
248,YJL050W,249
249,YOL159C,250
250,YER060W-A,251
251,YGL056C,252
252,YMR304C-A,253
253,YDR473C,254
254,YMR047C,255
255,YNR042W,256
256,YMR111C,257
257,YEL001C,258
258,YIL037C,259
259,YOL067C,260
260,YGL091C,261
261,YKR070W,262
262,YPR143W,263
263,YPL261C,264
264,YLR159W,265
265,YCR105W,266
266,YOR041C,267
267,YER172C,268
268,YML072C,269
269,YDL169C,270
270,YJL111W,271
271,YKL205W,272
