,gene,int
0,ENSP00000326531,1
1,ENSP00000310726,2
2,ENSP00000260950,3
3,ENSP00000357727,4
4,ENSP00000267101,5
5,ENSP00000340271,6
6,ENSP00000221114,7
7,ENSP00000206474,8
8,ENSP00000330572,9
9,ENSP00000242776,10
10,ENSP00000216968,11
11,ENSP00000251968,12
12,ENSP00000444856,13
13,ENSP00000202017,14
14,ENSP00000370695,15
15,ENSP00000295926,16
16,ENSP00000373905,17
17,ENSP00000242067,18
18,ENSP00000368100,19
19,ENSP00000377024,20
20,ENSP00000287600,21
21,ENSP00000244537,22
22,ENSP00000275732,23
23,ENSP00000376793,24
24,ENSP00000267953,25
25,ENSP00000055077,26
26,ENSP00000262225,27
27,ENSP00000228682,28
28,ENSP00000299824,29
29,ENSP00000478754,30
30,ENSP00000445175,31
31,ENSP00000311430,32
32,ENSP00000370698,33
33,ENSP00000292169,34
34,ENSP00000472109,35
35,ENSP00000296795,36
36,ENSP00000329991,37
37,ENSP00000294742,38
38,ENSP00000260442,39
39,ENSP00000434995,40
40,ENSP00000365042,41
41,ENSP00000317123,42
42,ENSP00000359675,43
43,ENSP00000347978,44
44,ENSP00000371594,45
45,ENSP00000376792,46
46,ENSP00000268711,47
47,ENSP00000337194,48
48,ENSP00000355599,49
49,ENSP00000306220,50
50,ENSP00000234420,51
51,ENSP00000431284,52
52,ENSP00000417378,53
53,ENSP00000345096,54
54,ENSP00000256545,55
55,ENSP00000215368,56
56,ENSP00000330945,57
57,ENSP00000362931,58
58,ENSP00000465759,59
59,ENSP00000204679,60
60,ENSP00000282892,61
61,ENSP00000347915,62
62,ENSP00000454545,63
63,ENSP00000361892,64
64,ENSP00000321326,65
65,ENSP00000442424,66
66,ENSP00000378295,67
67,ENSP00000311344,68
68,ENSP00000356671,69
69,ENSP00000428223,70
70,ENSP00000427329,71
71,ENSP00000432886,72
72,ENSP00000289429,73
73,ENSP00000254803,74
74,ENSP00000410294,75
75,ENSP00000454207,76
76,ENSP00000264110,77
77,ENSP00000310275,78
78,ENSP00000325136,79
79,ENSP00000295600,80
80,ENSP00000259239,81
81,ENSP00000377617,82
82,ENSP00000256897,83
83,ENSP00000264933,84
84,ENSP00000373648,85
85,ENSP00000315713,86
86,ENSP00000325002,87
87,ENSP00000258383,88
88,ENSP00000287156,89
89,ENSP00000311121,90
90,ENSP00000350090,91
91,ENSP00000393840,92
92,ENSP00000472985,93
93,ENSP00000403495,94
94,ENSP00000260570,95
95,ENSP00000335083,96
96,ENSP00000263401,97
97,ENSP00000261965,98
98,ENSP00000369927,99
99,ENSP00000471896,100
100,ENSP00000285116,101
101,ENSP00000253413,102
102,ENSP00000320503,103
103,ENSP00000383042,104
104,ENSP00000274054,105
105,ENSP00000397259,106
106,ENSP00000354621,107
107,ENSP00000291009,108
108,ENSP00000386041,109
109,ENSP00000361359,110
110,ENSP00000319417,111
111,ENSP00000397863,112
112,ENSP00000377954,113
113,ENSP00000264664,114
114,ENSP00000261937,115
115,ENSP00000376808,116
116,ENSP00000455607,117
117,ENSP00000379366,118
118,ENSP00000350170,119
119,ENSP00000373404,120
120,ENSP00000366557,121
121,ENSP00000249647,122
122,ENSP00000370517,123
123,ENSP00000232975,124
124,ENSP00000356548,125
125,ENSP00000292476,126
126,ENSP00000394734,127
127,ENSP00000450731,128
128,ENSP00000344166,129
129,ENSP00000272238,130
130,ENSP00000360281,131
