,gene,int
0,ENSP00000248114,1
1,ENSP00000307479,2
2,ENSP00000404381,3
3,ENSP00000304376,4
4,ENSP00000385763,5
5,ENSP00000351805,6
6,ENSP00000322802,7
7,ENSP00000419199,8
8,ENSP00000361467,9
9,ENSP00000273064,10
10,ENSP00000331302,11
11,ENSP00000339404,12
12,ENSP00000249299,13
13,ENSP00000353094,14
14,ENSP00000315680,15
15,ENSP00000216962,16
16,ENSP00000394751,17
17,ENSP00000408288,18
18,ENSP00000407546,19
19,ENSP00000184266,20
20,ENSP00000312326,21
21,ENSP00000398495,22
22,ENSP00000246553,23
23,ENSP00000363817,24
24,ENSP00000260372,25
25,ENSP00000312286,26
26,ENSP00000264122,27
27,ENSP00000222271,28
28,ENSP00000282570,29
29,ENSP00000317331,30
30,ENSP00000387128,31
31,ENSP00000221166,32
32,ENSP00000368017,33
33,ENSP00000301244,34
34,ENSP00000375067,35
35,ENSP00000437621,36
36,ENSP00000287647,37
37,ENSP00000296953,38
38,ENSP00000231656,39
39,ENSP00000271308,40
40,ENSP00000300181,41
41,ENSP00000357068,42
42,ENSP00000286835,43
43,ENSP00000216034,44
44,ENSP00000295834,45
45,ENSP00000367992,46
46,ENSP00000430494,47
47,ENSP00000473553,48
48,ENSP00000225823,49
49,ENSP00000270861,50
50,ENSP00000368265,51
51,ENSP00000205061,52
52,ENSP00000258400,53
53,ENSP00000466298,54
54,ENSP00000436049,55
55,ENSP00000238616,56
56,ENSP00000362981,57
57,ENSP00000005260,58
58,ENSP00000460964,59
59,ENSP00000264144,60
60,ENSP00000440222,61
61,ENSP00000390849,62
62,ENSP00000230048,63
63,ENSP00000216832,64
64,ENSP00000476145,65
65,ENSP00000340510,66
66,ENSP00000252939,67
67,ENSP00000275525,68
68,ENSP00000335006,69
69,ENSP00000362751,70
70,ENSP00000369519,71
71,ENSP00000360644,72
72,ENSP00000406463,73
73,ENSP00000430548,74
74,ENSP00000311165,75
75,ENSP00000340841,76
76,ENSP00000288177,77
77,ENSP00000334474,78
78,ENSP00000158762,79
79,ENSP00000384620,80
80,ENSP00000387219,81
81,ENSP00000368752,82
82,ENSP00000264065,83
83,ENSP00000371155,84
84,ENSP00000211998,85
85,ENSP00000348772,86
86,ENSP00000262646,87
87,ENSP00000219302,88
88,ENSP00000267460,89
89,ENSP00000361238,90
90,ENSP00000383611,91
91,ENSP00000305974,92
92,ENSP00000296102,93
93,ENSP00000262435,94
94,ENSP00000379383,95
95,ENSP00000467579,96
96,ENSP00000323348,97
97,ENSP00000355658,98
98,ENSP00000231228,99
99,ENSP00000478320,100
100,ENSP00000360671,101
101,ENSP00000253925,102
102,ENSP00000219255,103
103,ENSP00000355657,104
104,ENSP00000453858,105
105,ENSP00000363103,106
106,ENSP00000362057,107
107,ENSP00000343515,108
108,ENSP00000357727,109
109,ENSP00000359837,110
110,ENSP00000381773,111
111,ENSP00000318486,112
112,ENSP00000217446,113
113,ENSP00000417335,114
114,ENSP00000406367,115
115,ENSP00000347495,116
116,ENSP00000404676,117
117,ENSP00000375133,118
118,ENSP00000365694,119
119,ENSP00000429065,120
120,ENSP00000288065,121
121,ENSP00000362441,122
122,ENSP00000317992,123
123,ENSP00000302936,124
124,ENSP00000266987,125
125,ENSP00000405969,126
126,ENSP00000381577,127
127,ENSP00000261868,128
128,ENSP00000221138,129
129,ENSP00000264935,130
130,ENSP00000436691,131
131,ENSP00000268919,132
132,ENSP00000318195,133
133,ENSP00000378401,134
134,ENSP00000369217,135
135,ENSP00000415433,136
136,ENSP00000329219,137
