,gene,int
0,YHR041C,1
1,YDR228C,2
2,YOR085W,3
3,YOL051W,4
4,YLR284C,5
5,YOR217W,6
6,YEL050C,7
7,YNL118C,8
8,YGR161C,9
9,YGR285C,10
10,YML077W,11
11,YER136W,12
12,YDR152W,13
13,YDR001C,14
14,YMR047C,15
15,YDR159W,16
16,YFR037C,17
17,YPR029C,18
18,YDL131W,19
19,YKR092C,20
20,YNL102W,21
21,YPL151C,22
22,YDL102W,23
23,YMR312W,24
24,YIL034C,25
25,YML010W,26
26,YGL122C,27
27,YKL117W,28
28,YMR197C,29
29,YPL031C,30
30,YKR037C,31
31,YBR061C,32
32,YDR272W,33
33,YML026C,34
34,YGR162W,35
35,YFL034C-B,36
36,YIL142W,37
37,YEL026W,38
38,YGR048W,39
39,YAR003W,40
40,YPR131C,41
41,YDL225W,42
42,YHR058C,43
43,YBR089C-A,44
44,YER172C,45
45,YLR180W,46
46,YBR130C,47
47,YHR166C,48
48,YKL125W,49
49,YFL017W-A,50
50,YLR106C,51
51,YMR231W,52
52,YLR440C,53
53,YPR066W,54
54,YPL144W,55
55,YLL008W,56
56,YDR385W,57
57,YPL070W,58
58,YML064C,59
59,YIL069C,60
60,YOL040C,61
61,YGL226C-A,62
62,YEL051W,63
63,YIL149C,64
64,YDL130W,65
65,YLR333C,66
66,YLR246W,67
67,YAL003W,68
68,YLR200W,69
69,YJL166W,70
70,YPL173W,71
71,YJL191W,72
72,YGR216C,73
73,YIR005W,74
74,YHR072W-A,75
75,YDR407C,76
76,YLR176C,77
77,YFR033C,78
78,YPL078C,79
79,YLL045C,80
80,YOR349W,81
81,YIL026C,82
82,YNL330C,83
83,YLR178C,84
84,YPL105C,85
85,YJL081C,86
86,YDL044C,87
87,YDR356W,88
88,YNL110C,89
89,YKL206C,90
90,YGR179C,91
91,YMR083W,92
92,YML109W,93
93,YAL014C,94
94,YNL334C,95
95,YDR097C,96
96,YER164W,97
97,YMR052W,98
98,YPR162C,99
99,YKR006C,100
100,YFL034C-A,101
101,YER022W,102
102,YPR145W,103
103,YGL237C,104
104,YGL201C,105
105,YDR429C,106
106,YOR108W,107
107,YIL035C,108
108,YOR210W,109
109,YOR164C,110
110,YDL059C,111
111,YDR530C,112
112,YGL070C,113
113,YGL187C,114
114,YDR469W,115
115,YDR484W,116
116,YDL126C,117
117,YJL178C,118
118,YBR142W,119
119,YKL081W,120
120,YLR026C,121
121,YMR192W,122
122,YHL007C,123
123,YPR166C,124
124,YBL046W,125
125,YEL020W-A,126
126,YDL160C-A,127
127,YGL173C,128
128,YHR190W,129
129,YGL066W,130
130,YBR251W,131
131,YLR378C,132
132,YGR238C,133
133,YBL037W,134
134,YGL061C,135
135,YDR139C,136
136,YLR100W,137
137,YDL008W,138
138,YDR314C,139
139,YLR248W,140
140,YJR041C,141
141,YPL131W,142
142,YGR027C,143
143,YJR105W,144
144,YGR119C,145
145,YKL074C,146
146,Q0250,147
147,YNL030W,148
148,YDL185W,149
149,YKL144C,150
150,YKL092C,151
151,YOR190W,152
152,YLR335W,153
153,YMR025W,154
154,YEL027W,155
155,YMR293C,156
156,YJR075W,157
157,YMR214W,158
158,YHR085W,159
159,YMR276W,160
160,YJR046W,161
161,YBL076C,162
162,YCR072C,163
163,YBR288C,164
164,YKL009W,165
165,YPR004C,166
166,YJR094W-A,167
167,YFL002C,168
168,YKR059W,169
169,YPR178W,170
170,YIR009W,171
171,YNL252C,172
172,YMR146C,173
173,YOR323C,174
174,YNL306W,175
175,YDR422C,176
176,YGL244W,177
177,YLR314C,178
178,YHR034C,179
179,YDL031W,180
180,YDR310C,181
181,YJR031C,182
182,YGL213C,183
183,YLR134W,184
184,YDL229W,185
185,YGR159C,186
186,YMR113W,187
187,YLR376C,188
188,YDL155W,189
189,YKR026C,190
190,YOL072W,191
191,YFL007W,192
192,YPR185W,193
193,YDL188C,194
194,YBR080C,195
195,YMR199W,196
196,YDR240C,197
197,YLR398C,198
198,YLR295C,199
199,YOL010W,200
200,YHR059W,201
201,YKR002W,202
202,YPL183W-A,203
203,YKL045W,204
204,YDR495C,205
205,YDR449C,206
206,YPR101W,207
207,YML051W,208
208,YDR022C,209
209,YJL052W,210
210,YBL097W,211
211,YDR347W,212
212,YOR393W,213
213,YGR181W,214
214,YER063W,215
215,YHR088W,216
216,YLR354C,217
217,YOR069W,218
218,YCR052W,219
219,YOR054C,220
220,YBL002W,221
221,YPL101W,222
222,YPL235W,223
223,YGR028W,224
224,YER019C-A,225
225,YJR011C,226
226,YER062C,227
227,YGR135W,228
228,YFR031C-A,229
229,YNR046W,230
230,YGL078C,231
231,YDR292C,232
232,Q0085,233
233,YCR016W,234
234,YJL149W,235
235,YDR425W,236
236,YFR050C,237
237,YPL152W,238
238,YGR145W,239
239,YFR049W,240
240,YOL133W,241
241,YEL036C,242
242,YDR092W,243
243,YBL027W,244
244,YKL006C-A,245
245,YMR263W,246
246,YDL161W,247
247,YPR086W,248
248,YPL243W,249
249,YLR119W,250
250,YNL002C,251
251,YMR310C,252
252,YGL238W,253
253,YFR028C,254
254,YGR006W,255
255,YGR102C,256
256,YGL208W,257
257,YGR091W,258
258,YDR189W,259
259,YNL061W,260
260,YBR123C,261
261,YPR193C,262
262,YGL151W,263
263,YNL186W,264
264,YJR035W,265
265,YKL191W,266
266,YBR084C-A,267
267,YOR158W,268
268,YMR028W,269
269,YDR163W,270
270,YAL035W,271
271,YDR140W,272
272,YDL150W,273
273,YHR013C,274
274,YDR186C,275
275,YOL090W,276
276,YNL124W,277
277,YER074W,278
278,YJL109C,279
279,YDR496C,280
280,YBR127C,281
281,YML112W,282
282,YOR290C,283
283,YPR190C,284
284,YJR082C,285
285,YNL265C,286
286,YDR035W,287
287,YJL112W,288
288,YGR200C,289
289,YDR093W,290
290,YHR127W,291
291,YAL002W,292
292,YOR179C,293
293,YHR081W,294
294,YKL214C,295
295,YLR312W-A,296
296,YMR240C,297
297,YOR232W,298
298,YDL145C,299
299,YBR234C,300
300,YOL034W,301
301,YOR132W,302
302,YOR358W,303
303,YPL139C,304
304,YOR056C,305
305,YMR078C,306
306,YJR093C,307
307,YMR273C,308
308,YDL156W,309
309,YGR004W,310
310,YCR068W,311
311,YPR161C,312
312,YHR147C,313
313,YER177W,314
314,YDR115W,315
315,YNR052C,316
316,YDR289C,317
317,YGL003C,318
318,YCR003W,319
319,YLR002C,320
320,YGR032W,321
321,YML009C,322
322,YAL021C,323
323,YIL103W,324
324,YDR237W,325
325,YJL218W,326
326,YMR001C,327
327,YHR121W,328
328,YDR255C,329
329,YLR270W,330
330,YGR215W,331
331,YOR065W,332
332,YLR139C,333
333,YDR363W-A,334
334,YBL032W,335
335,YNL189W,336
336,YPR025C,337
337,YBR193C,338
338,YDL065C,339
339,YAL034W-A,340
340,YNL094W,341
341,YDR498C,342
342,YDR303C,343
343,YPL120W,344
344,YNL099C,345
345,YGR054W,346
346,YDR382W,347
347,YNL216W,348
348,YER146W,349
349,YGL099W,350
350,YPL003W,351
351,YOR174W,352
352,YJR022W,353
353,YKR101W,354
354,YDR301W,355
355,YDL070W,356
356,YBR257W,357
357,YGR116W,358
358,YGL155W,359
359,YDR164C,360
360,YFL059W,361
361,YPR182W,362
362,YDR224C,363
363,YEL018W,364
364,YCR005C,365
365,YDL189W,366
366,YNR053C,367
367,YDR207C,368
368,YHL004W,369
369,YHR027C,370
370,YNL297C,371
371,YGR108W,372
372,YJL029C,373
373,YJL187C,374
374,YDR346C,375
375,YKL080W,376
376,YBR039W,377
377,YNR037C,378
378,YNL097C,379
379,YOL147C,380
380,YLR399C,381
381,YKL095W,382
382,YBL016W,383
383,YAL032C,384
384,YAR014C,385
385,YDR337W,386
386,YNL032W,387
387,YDR002W,388
388,YJL060W,389
389,YDR500C,390
390,YKL172W,391
391,YKL182W,392
392,YNL182C,393
393,YDR057W,394
394,YIL126W,395
395,YCR042C,396
396,YIR012W,397
397,YER052C,398
398,YNL248C,399
399,YCL031C,400
400,YDR365C,401
401,YCR031C,402
402,YJL177W,403
403,YER040W,404
