,gene,int
0,YFR037C,1
1,YGL142C,2
2,YJR084W,3
3,YAR015W,4
4,YHR079C-A,5
5,YMR304W,6
6,YOL116W,7
7,YHR162W,8
8,YDR450W,9
9,YLR172C,10
10,YPL144W,11
11,YIL026C,12
12,YMR146C,13
13,YMR060C,14
14,YMR261C,15
15,YJL035C,16
16,YBR211C,17
17,YBR057C,18
18,YOL061W,19
19,YOL001W,20
20,YML009C,21
21,YMR177W,22
22,YMR152W,23
23,YBR228W,24
24,YLR380W,25
25,YER159C,26
26,YDR408C,27
27,YLR274W,28
28,YBR145W,29
29,YCL061C,30
30,YLL012W,31
31,YDL089W,32
32,YGR170W,33
33,YGR150C,34
34,YNL274C,35
35,YER054C,36
36,YOL132W,37
37,YCL016C,38
38,YMR264W,39
39,YDR281C,40
40,YBR175W,41
41,YHR200W,42
42,YIL014W,43
43,YFR007W,44
44,YCR020C-A,45
45,YHR023W,46
46,YMR036C,47
47,YER124C,48
48,YHL020C,49
49,YBR141C,50
50,YDR486C,51
51,YNL092W,52
52,YLR334C,53
53,YDR099W,54
54,YCR060W,55
55,YNL069C,56
56,YBL045C,57
57,YGL151W,58
58,YHR005C-A,59
59,YGL156W,60
60,YOR172W,61
61,YKL014C,62
62,YHR190W,63
63,YOR137C,64
64,YLR237W,65
65,YMR037C,66
66,YLR426W,67
67,YGR247W,68
68,YOR308C,69
69,YOR245C,70
70,YER171W,71
71,YHR003C,72
72,YLR257W,73
73,YDR522C,74
74,YNL148C,75
75,YPR135W,76
76,YGR128C,77
77,YML132W,78
78,YDL209C,79
79,YDR406W,80
80,YDL149W,81
81,YDR055W,82
82,YLL023C,83
83,Q0070,84
84,YER060W,85
85,YHR038W,86
86,YOR372C,87
87,YDR328C,88
88,YOL036W,89
89,YLR297W,90
90,YFR026C,91
91,YER025W,92
92,YER150W,93
93,YHR037W,94
94,YMR322C,95
95,YPL107W,96
96,YNL248C,97
97,YGR142W,98
98,YBR288C,99
99,YOR154W,100
100,YDR430C,101
101,YHR027C,102
102,YGL025C,103
103,YOR060C,104
104,YOL135C,105
105,YDL031W,106
106,YLR281C,107
107,YGR188C,108
108,YOR180C,109
109,YPR064W,110
110,YCR008W,111
111,YGL171W,112
112,YER047C,113
113,YGR027W-B,114
114,YBR173C,115
115,YPL170W,116
116,YCL044C,117
117,YGR079W,118
118,YMR187C,119
119,YML071C,120
120,YER176W,121
121,YGL062W,122
122,YMR092C,123
123,YIL074C,124
124,YBL058W,125
125,YOL042W,126
126,YKL117W,127
127,YER056C-A,128
128,YDR320C,129
129,YOL105C,130
130,YBL066C,131
131,YOR052C,132
132,YDR111C,133
133,YOL139C,134
134,YKR035W-A,135
135,YHL023C,136
136,YDR402C,137
137,YMR267W,138
138,YDR480W,139
139,YPR014C,140
140,YNL284C,141
141,YPL017C,142
142,YIL155C,143
143,YMR048W,144
144,YJL054W,145
145,YOR196C,146
146,YGR157W,147
147,YAL033W,148
148,YLR243W,149
149,YLL004W,150
150,YOL130W,151
151,YLR203C,152
