col1 col2 weight
Q0045 Q0105 297
Q0045 Q0250 808
Q0045 Q0275 808
Q0045 YBL045C 808
Q0045 YDL067C 324
Q0045 YDR119W-A 300
Q0045 YGL187C 808
Q0045 YGL191W 808
Q0045 YHR051W 808
Q0045 YIL111W 296
Q0045 YLR038C 297
Q0045 YLR203C 581
Q0045 YLR395C 324
Q0045 YML129C 498
Q0045 YMR256C 808
Q0045 YNL052W 324
Q0045 YPL172C 296
Q0045 YPR191W 536
Q0050 YPR140W 662
Q0060 YGL187C 271
Q0065 YGL187C 271
Q0070 YGL187C 271
Q0080 Q0085 959
Q0080 Q0130 800
Q0080 YBL099W 959
Q0080 YBR039W 800
Q0080 YDL004W 800
Q0080 YDR298C 800
Q0080 YDR377W 903
Q0080 YHR047C 286
Q0080 YJR121W 959
Q0080 YKL016C 959
Q0080 YLR295C 800
Q0080 YML081C-A 800
Q0080 YOL077W-A 800
Q0080 YPL078C 959
Q0080 YPL271W 800
Q0085 Q0080 959
Q0085 Q0130 959
Q0085 YBL099W 959
Q0085 YBR039W 959
Q0085 YDL004W 959
Q0085 YDR298C 853
Q0085 YDR377W 853
Q0085 YJR121W 959
Q0085 YKL016C 959
Q0085 YLR295C 959
Q0085 YML081C-A 959
Q0085 YOL077W-A 800
Q0085 YPL078C 959
Q0085 YPL271W 959
Q0105 Q0045 297
Q0105 Q0250 808
Q0105 Q0275 808
Q0105 YBL045C 923
Q0105 YDR529C 912
Q0105 YEL024W 853
Q0105 YFR033C 800
Q0105 YGL187C 808
Q0105 YGR174C 581
Q0105 YGR183C 800
Q0105 YJL166W 912
Q0105 YMR256C 808
Q0105 YOR065W 853
Q0105 YPR191W 903
Q0110 YGL187C 271
Q0110 YGR037C 289
Q0115 YGL187C 271
Q0120 YGL187C 271
Q0130 Q0080 800
Q0130 Q0085 959
Q0130 YBL099W 959
Q0130 YBR039W 800
Q0130 YDL004W 800
Q0130 YDR298C 800
Q0130 YDR377W 800
Q0130 YJR121W 959
Q0130 YKL016C 959
Q0130 YLR295C 800
Q0130 YML081C-A 800
Q0130 YOL077W-A 800
Q0130 YPL078C 959
Q0130 YPL271W 800
Q0140 YBL090W 800
Q0140 YBR146W 800
Q0140 YBR251W 800
Q0140 YDL045W-A 800
Q0140 YDR041W 800
Q0140 YDR175C 800
Q0140 YDR337W 800
Q0140 YDR347W 800
Q0140 YDR494W 800
Q0140 YER050C 800
Q0140 YGL129C 800
Q0140 YGR084C 800
Q0140 YGR165W 800
Q0140 YGR215W 800
Q0140 YHL004W 934
Q0140 YIL093C 800
Q0140 YJR101W 800
Q0140 YJR113C 800
Q0140 YKL003C 800
Q0140 YKL155C 324
Q0140 YMR158W 800
Q0140 YMR188C 800
Q0140 YNL137C 800
Q0140 YNL306W 800
Q0140 YNR036C 800
Q0140 YNR037C 800
Q0140 YOR158W 800
Q0140 YPL013C 800
Q0140 YPL118W 800
Q0140 YPR166C 800
Q0250 Q0045 808
Q0250 Q0105 808
Q0250 Q0275 808
Q0250 YBL045C 632
Q0250 YBR024W 445
Q0250 YBR037C 358
Q0250 YDR119W-A 358
Q0250 YGL187C 808
Q0250 YHR051W 808
Q0250 YIL051C 649
Q0250 YLR038C 297
Q0250 YLR395C 297
Q0250 YML129C 339
Q0250 YMR256C 808
Q0250 YOR065W 348
Q0250 YPR191W 297
Q0275 Q0045 808
Q0275 Q0105 808
Q0275 Q0250 808
Q0275 YGL187C 808
Q0275 YGL191W 297
Q0275 YHR051W 808
Q0275 YLR038C 297
Q0275 YLR395C 297
Q0275 YML129C 300
Q0275 YMR256C 808
Q0275 YNL052W 808
YAL001C YBR123C 808
YAL001C YDL074C 288
YAL001C YDL078C 288
YAL001C YDL097C 198
YAL001C YDR045C 324
YAL001C YDR362C 639
YAL001C YDR449C 288
YAL001C YDR523C 288
YAL001C YER148W 296
YAL001C YFR052W 218
